"id","catalog_number","description","main_image","additional_description","attributes"
"2793515","S601026-200","Reelcraft S601026-200 HOSE PVC 3/4 X 200FT 3/4 X 3/4^ NPTF (M) 250 PSI","product_images/27/93515/6rdLfFx.png","",""
"2793519","S601027-50","Reelcraft S601027-50 HOSE PVC 1 X 50FT 3/4 X 1 NPTF (M) 250 PSI","product_images/27/93519/6rdLfFx.png","",""
"2793527","S13-260043","Reelcraft S13-260043 HOSE 100R1T 1/4 X 20FT 1/4 X 3/8 NPTF (M) 2750 PSI","product_images/27/93527/KuotrrT.png","",""
"2793535","S16-260043","Reelcraft S16-260043 HOSE 100R1T 3/8X 30FT 3/8 X 3/8 NPTF (M) 2250 PSI","product_images/27/93535/KuotrrT.png","",""
"2793539","S5-260043","Reelcraft S5-260043 HOSE 100R1T 3/8 X 50FT 3/8 X 1/2 NPTF (M) 2250 PSI","product_images/27/93539/eV4OWPF.png","",""
"2793543","S37-260043","Reelcraft S37-260043 HOSE 100R1T 1/2 X 35FT 1/2 X 1/2 NPTF (M) 3250 PSI","product_images/27/93543/eV4OWPF.png","",""
"2793547","S24-260043","Reelcraft S24-260043 HOSE 100R1T 1/2 X 75FT 1/2 X 1/2 NPTF (M) 3250 PSI","product_images/27/93547/KuotrrT.png","",""
"2793551","S6-260044","Reelcraft S6-260044 HOSE 100R2T 1/4 X 20FT 1/4 X 1/4 NPTF (M) 5000 PSI","product_images/27/93551/7soX1fx.png","",""
"2793555","S8-260044","Reelcraft S8-260044 HOSE 100R2T 1/4 X 40FT 1/4 X 3/8 NPTF (M) 5000 PSI","product_images/27/93555/7soX1fx.png","",""
"2793559","S3-260044","Reelcraft S3-260044 HOSE 100R2T 3/8 X 30FT 1/4 X 3/8 NPTF (M) 4800 PSI","product_images/27/93559/eV4OWPF.png","",""
"2793563","S5-260044","Reelcraft S5-260044 HOSE 100R2T 3/8 X50FT 1/4 X 3/8 NPTF (M) 4800 PSI","product_images/27/93563/eV4OWPF.png","",""
"5056270","7650 OLP-HTH","ReelCraft  7650 OLP-HTH W/HOSE 3/8""x 50ft 300psi","product_images/50/56270/default_5056270.jpg","",""
"2207980","B5835 OLP","ReelCraft B5835 OLP SERIES 5000 OPEN W/HOSE 1/2 x 35ft 300psi","product_images/22/07980/5650_OLP_3ZRqu70.jpg","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5005 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery. The Series B5005 reels include the ratchet latch design.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Ratchet Latch Design - The latch pawl is mounted on guide arm to prevent lock out at full extension. </li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>B5835 OLP                     </td>\n			</tr><tr>\n				<th>Series</th><td>5005</td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>39        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/2""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.750      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>300</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>1/2 (M)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>17.625""</td>\n		</tr><tr>\n			<th>B</th><td>16.5""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>5.875""</td>\n		</tr>\n	</table></div>",""
"2207996","SD13000 OVP","ReelCraft SD13000 OVP SERIES SD1000-LOW PROFILE W/OUT HOS 3/4 x 50ft 250psi","product_images/22/07996/SD14000_OVP.jpg","<div>\n        \n	\n		\n			 <h5>Ultimate Duty Low Profile Reel</h5>\n		\n			 Series SD10000 hose reels are designed to facilitate larger diameter 3/4"" and 1"" hose up to 50 ft. They feature a high quality external drive spring and a heavy gauge all-bolted together frame. This is the most compact reel in its class, making it ideal for mounting in truck cabinets or other areas where space is limited.\n		\n	\n\n        \n            <ul>\n                <li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance.</li>\n                <li>Containerized external drive spring is easily and safely serviced.</li>\n                <li>Ductile iron fluid path is strong and reliable.</li>\n                <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n		<tr>\n			<th>Part Number</th><td>SD13000 OVP                   </td>\n		</tr><tr>\n			<th>Series</th><td>SD             </td>\n		</tr><tr>\n			<th>Weight (lbs)</th><td>85        </td>\n		</tr><tr>\n			<th>Hose I.D. (in)</th><td>3/4""</td>\n		</tr><tr>\n			<th>Hose O.D. (in)</th><td>1.260     </td>\n		</tr><tr>\n			<th>Hose Length (ft)</th><td>35</td>\n		</tr><tr>\n			<th>Pressure (psi)</th><td>0</td>\n		</tr><tr>\n			<th>Outlet (in)</th><td> </td>\n		</tr><tr>\n			<th>Inlet (in)</th><td>1 (F)NPTF</td>\n		</tr><tr>\n			<th>Hose Included</th><td>no</td>\n		</tr><tr>\n			<th>Max Temperature (°F)</th><td>210       </td>\n		</tr><tr>\n			<th>Warehouse</th><td> </td>\n		</tr>\n	</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>18.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.125""</td>\n		</tr><tr>\n			<th>C</th><td>14""</td>\n		</tr><tr>\n			<th>D</th><td>11.25""</td>\n		</tr><tr>\n			<th>E</th><td>18.75""</td>\n		</tr><tr>\n			<th>F</th><td>8""</td>\n		</tr>\n	</table></div>",""
"2208012","UR7915 OLB","ReelCraft UR7915 OLB DEF DISPENSING HOSE REEL W/HOSE 3/4 x 15ft 300psi","product_images/22/08012/7850_OHP.jpg","<div>\n        \n        \n		\n			\n				 <h5>Spring Retractable DEF Hose Reel</h5>\n			\n				 Reelcraft introduces its DEF Dispensing line of spring retractable hose reels. Designed to aide in the dispensing of Diesel Emissions Fluid (DEF) for late model diesel engines, these reels are an integral part in emerging DEF service stations in marinas, truck stops and garages. This sort of dispensing equipment is going to become more prevalent across the United States as the push for greener emissions standards escalates. Reelcraft is offering a solution.\n			\n		\n	\n        \n            <ul>\n                <li>Corrosion Resistance - Internal fluid path parts are made from 304L grade stainless steel and features Viton o-rings. Carbon steel parts receive a uniform polyester powder coat prior to assembly.</li>\n                <li>Heavy Duty - Steel stampings are engineered with structural forms to give added strength and rigidity.</li>\n                <li>Ease of Maintenance - Open design allows for access to any wear items, guide arm and bumper stop are adjustable using only standard tools.</li>\n                <li>Extended Hose Life - Reel stores expensive hose up and out of harms way greatly extending the service life of hose.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n				<tr>\n					<th>Part Number</th><td>UR7915 OLB</td>\n				</tr><tr>\n					<th>Series</th><td>7000</td>\n				</tr><tr>\n					<th>Weight (lbs)</th><td>48        </td>\n				</tr><tr>\n					<th>Hose I.D. (in)</th><td>3/4""</td>\n				</tr><tr>\n					<th>Hose O.D. (in)</th><td>1.13      </td>\n				</tr><tr>\n					<th>Hose Length (ft)</th><td>15</td>\n				</tr><tr>\n					<th>Pressure (psi)</th><td>300</td>\n				</tr><tr>\n					<th>Outlet (in)</th><td>3/4 (M)NPTF</td>\n				</tr><tr>\n					<th>Inlet (in)</th><td>3/4 (F)NPTF</td>\n				</tr><tr>\n					<th>Hose Included</th><td>yes</td>\n				</tr><tr>\n					<th>Max Temperature (°F)</th><td>150       </td>\n				</tr><tr>\n					<th>Warehouse</th><td> </td>\n				</tr>\n			</table><table class=""description-table"">\n			<tr>\n				<th>A</th><td>20.25""</td>\n			</tr><tr>\n				<th>B</th><td>19.75""</td>\n			</tr><tr>\n				<th>C</th><td>7.8125""</td>\n			</tr><tr>\n				<th>D</th><td>3.875""</td>\n			</tr><tr>\n				<th>E</th><td>7""</td>\n			</tr>\n		</table></div>",""
"2208052","5405 OHP","ReelCraft 5405 OHP SERIES 5005 OPEN WITHOUT HOSE & BUMPER","product_images/22/08052/XxVG9ys.png","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5005 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5405 OHP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5005           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>33        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.580      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>17.625""</td>\n		</tr><tr>\n			<th>B</th><td>16.5""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>5.875""</td>\n		</tr>\n	</table></div>",""
"2208068","7600 OHP","ReelCraft 7600 OHP SERIES 7000 OPEN WITHOUT HOSE & BUMPER","product_images/22/08068/7800_OLP_RzTXLwn.jpg","<div>\n        \n	\n		\n			 <h5>Heavy Duty Spring Retractable Hose Reel</h5>\n		\n			 Reelcraft's Series 7000 is very robust and ideal for the most demanding applications. The reel’s base and guide arm are formed from high-grade steel and engineered with structural forms and gussets to yield the greatest amount of strength. The standard low pressure hose is for air or water service only. The basic reel without hose can be used for air, water or oil. Consult Reelcraft for other products and hoses. Guide arm adjusts to 3 positions.                                                   \n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The steel guide arm and base are stamped with ribs and gussets to insure maximum strength and lightest possible weight.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>7600 OHP                      </td>\n			</tr><tr>\n				<th>Series</th><td>7000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>46        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>3/8""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.730      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>50</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/2 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td>CA</td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>20.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.75""</td>\n		</tr><tr>\n			<th>C</th><td>7.8125""</td>\n		</tr><tr>\n			<th>D</th><td>3.875""</td>\n		</tr><tr>\n			<th>E</th><td>7""</td>\n		</tr>\n	</table></div>",""
"2793413","CA32106 L","Reelcraft CA32106 L Hose Reel 1/2 x 100ft QS123 Hand Crank no Hose 1000","product_images/27/93413/dATYb06.png","",""
"2793421","CA33106 L","Reelcraft CA33106 L Hose Reel 3/4 x 50ft QS123 Hand Crank no Hose 1000","product_images/27/93421/8OwGg5q.png","",""
"2793425","CA33118 L","Reelcraft CA33118 L Hose Reel 3/4 x 175ft QS12 Hand Crank no Hose 1000","product_images/27/93425/zWvBpHA.png","",""
"2793433","EA32106 L12D","Reelcraft EA32106 L12D Hose Reel 1/2 x 100ft 12VDC Motor no hose 1000 psi","product_images/27/93433/8V2u2H6.png","",""
"2793441","L 4035 163 3","Reelcraft L 4035 163 3 Cord Reel Single Outlet QS12 35ft 16 AWG/3 Cond 13 A","product_images/27/93441/jxAq3EN.png","",""
"2793465","L 4500","Reelcraft L 4500 Cord Reel Without Cord QS1 45ft 12 AWG/3 Cond 20 AM","product_images/27/93465/G8QTVXG.png","",""
"2793473","L 4035 162 2","Reelcraft L 4035 162 2 Cord Reel Fluorescent Light 35ft 16 AWG/2 Cond .3 AMP","product_images/27/93473/Ue0XDpu.png","",""
"2793477","L 5245 A 163 6X","Reelcraft L 5245 A 163 6X Cord Reel Fluorescent Light 45ft 16 AWG/3 Cond .3 AMP","product_images/27/93477/2xTuvIq.png","",""
"2793481","L 4050 163 10","Reelcraft L 4050 163 10 Cord Reel LED Light QS1 50ft 16 AWG/3 Cond 13 AM","product_images/27/93481/7PX4KgH.png","",""
"2793497","S601015-50","Reelcraft S601015-50 HOSE PVC 3/8 X 50FT 3/8 X 1/2 NPTF (M) 300 PSI","product_images/27/93497/6rdLfFx.png","",""
"2793509","S601026-30","Reelcraft S601026-30 HOSE PVC 3/4 X 30FT 3/4 X 3/4^ NPTF (M) 250 PSI","product_images/27/93509/6rdLfFx.png","",""
"2793517","S601027-40","Reelcraft S601027-40 HOSE PVC 1 X 40FT 3/4 X 1 NPTF (M) 250 PSI","product_images/27/93517/EC5OTyD.png","",""
"2793521","S600160-4","Reelcraft S600160-4 HOSE FUEL 3/4 X 35FT 3/4 X 3/4 NPTF (M)","product_images/27/93521/FNavXFQ.png","",""
"2793525","S600451-35","Reelcraft S600451-35 HOSE FUEL 1 X 35FT 1 X 1 NPTF (M)","product_images/27/93525/FNavXFQ.png","",""
"2793529","S20-260043","Reelcraft S20-260043 HOSE 100R1T 1/4 X 30FT 1/4 X 3/8 NPTF (M) 2750 PSI","product_images/27/93529/KuotrrT.png","",""
"2793533","S12-260043","Reelcraft S12-260043 HOSE 100R1T 3/8 X 25FT 3/8 X 3/8 NPTF (M) 2250 PSI","product_images/27/93533/KuotrrT.png","",""
"2793537","S4-260043","Reelcraft S4-260043 HOSE 100R1T 3/8 X 40FT 3/8 X 1/2 NPTF (M) 2250 PSI","product_images/27/93537/eV4OWPF.png","",""
"2793545","S7-260043","Reelcraft S7-260043 HOSE 100R1T 1/2 X 40FT 1/2 X 1/2 NPTF (M) 3250 PSI","product_images/27/93545/7soX1fx.png","",""
"2793553","S7-260044","Reelcraft S7-260044 HOSE 100R2T 1/4 X 30FT 1/4 X 1/4 NPTF (M) 5000 PSI","product_images/27/93553/7soX1fx.png","",""
"2793557","S13-260044","Reelcraft S13-260044 HOSE 100R2T 3/8 X 25FT 1/4 X 1/4 NPTF (M) 4800 PSI","product_images/27/93557/KuotrrT.png","",""
"2793561","S26-260044","Reelcraft S26-260044 HOSE 100R2T 3/8 X 35FT 3/8 X 1/2 NPTF (M) 4800 PSI","product_images/27/93561/SREIISZ.png","",""
"2793565","S19-260044","Reelcraft S19-260044 HOSE 100R2T 3/8 X 50FT 3/8 X 1/2 NPTF (M) 4800 PSI","product_images/27/93565/KuotrrT.png","",""
"5029887","GC7925OLP","Reelcraft GC7925OLP Garden hose Reel 3/4 IN hose","product_images/50/29887/default_5029887.jpg","",""
"5056301","L 5550 123 7b","REELCRAFT L 5550 123 7b Duplex Outlet Box without GFC","product_images/50/56301/Reelcraft_L_5550_123_7b.jpg","","""AWG""=>""12"", ""Amps""=>""20"", ""Volts""=>""125"", ""Conductors""=>""3"", ""Cord/Cable Length ""=>""50 FT"", ""Cord/Cable Included""=>""Yes"""
"2207974","B5625 OHP","ReelCraft B5625 OHP SERIES 5000 OPEN W/HOSE 3/8 x 25ft 4000psi","product_images/22/07974/5430_OMP_p3JOV77.jpg","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5000 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery. The Series B5000 reels include the ratchet latch design.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Ratchet Latch Design - The latch pawl is mounted on guide arm to prevent lock out at full extension. </li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>B5625 OHP                     </td>\n			</tr><tr>\n				<th>Series</th><td>5000</td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>32        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>3/8""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.730      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>25</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>4800</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>1/4 (M)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>14.375""</td>\n		</tr><tr>\n			<th>B</th><td>14""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>6.125""</td>\n		</tr>\n	</table></div>",""
"2208006","SD14005 OVP","ReelCraft SD14005 OVP SERIES SD1000-LOW PROFILE W/OUT HOS 1in. x 50ft 250psi","product_images/22/08006/SD14000_OVP.jpg","<div>\n        \n	\n		\n			 <h5>Ultimate Duty Low Profile Reel</h5>\n		\n			 Series SD10000 hose reels are designed to facilitate larger diameter 3/4"" and 1"" hose up to 50 ft. They feature a high quality external drive spring and a heavy gauge all-bolted together frame. This is the most compact reel in its class, making it ideal for mounting in truck cabinets or other areas where space is limited.\n		\n	\n\n        \n            <ul>\n                <li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance.</li>\n                <li>Containerized external drive spring is easily and safely serviced.</li>\n                <li>Ductile iron fluid path is strong and reliable.</li>\n                <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n		<tr>\n			<th>Part Number</th><td>SD14005 OVP                   </td>\n		</tr><tr>\n			<th>Series</th><td>SD             </td>\n		</tr><tr>\n			<th>Weight (lbs)</th><td>92        </td>\n		</tr><tr>\n			<th>Hose I.D. (in)</th><td>1""</td>\n		</tr><tr>\n			<th>Hose O.D. (in)</th><td>1.496     </td>\n		</tr><tr>\n			<th>Hose Length (ft)</th><td>50</td>\n		</tr><tr>\n			<th>Pressure (psi)</th><td>0</td>\n		</tr><tr>\n			<th>Outlet (in)</th><td> </td>\n		</tr><tr>\n			<th>Inlet (in)</th><td>1 (F)NPTF</td>\n		</tr><tr>\n			<th>Hose Included</th><td>no</td>\n		</tr><tr>\n			<th>Max Temperature (°F)</th><td>210       </td>\n		</tr><tr>\n			<th>Warehouse</th><td> </td>\n		</tr>\n	</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>18.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.125""</td>\n		</tr><tr>\n			<th>C</th><td>14""</td>\n		</tr><tr>\n			<th>D</th><td>13.25""</td>\n		</tr><tr>\n			<th>E</th><td>20.75""</td>\n		</tr><tr>\n			<th>F</th><td>10""</td>\n		</tr>\n	</table></div>",""
"2208014","URD9275 OLBBW70","ReelCraft URD9275 OLBBW70 DEF DISPENSING HOSE REEL W/HOSE 1/2 x 75ft 300psi","product_images/22/08014/FD9350_OLPBW.jpg","<div>\n        \n        \n		\n			\n				 <h5>Spring Retractable DEF Hose Reel</h5>\n			\n				 Reelcraft introduces its DEF Dispensing line of spring retractable hose reels. Designed to aide in the dispensing of Diesel Emissions Fluid (DEF) for late model diesel engines, these reels are an integral part in emerging DEF service stations in marinas, truck stops and garages. This sort of dispensing equipment is going to become more prevalent across the United States as the push for greener emissions standards escalates. Reelcraft is offering a solution.\n			\n		\n	\n        \n            <ul>\n                <li>Corrosion Resistance - Internal fluid path parts are made from 304L grade stainless steel and features Viton o-rings. Carbon steel parts receive a uniform polyester powder coat prior to assembly.</li>\n                <li>Convenience - Reels keep longer lengths of hose in an organized manor and make it easier to access hard to reach fuel tanks.</li>\n                <li>Integration - We offer National Pipe Thread fittings as well as British Parallel to ensure that the reel will integrate with other components of your DEF system.</li>\n                <li>Extended Hose Life - Reel stores expensive hose up and out of harms way greatly extending the service life of hose.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n				<tr>\n					<th>Part Number</th><td>URD9275 OLBBW70</td>\n				</tr><tr>\n					<th>Series</th><td>9000</td>\n				</tr><tr>\n					<th>Weight (lbs)</th><td>125       </td>\n				</tr><tr>\n					<th>Hose I.D. (in)</th><td>1/2""</td>\n				</tr><tr>\n					<th>Hose O.D. (in)</th><td>.844      </td>\n				</tr><tr>\n					<th>Hose Length (ft)</th><td>75</td>\n				</tr><tr>\n					<th>Pressure (psi)</th><td>300</td>\n				</tr><tr>\n					<th>Outlet (in)</th><td>1/2 (M)BSPP</td>\n				</tr><tr>\n					<th>Inlet (in)</th><td>1/2 (F)BSPP</td>\n				</tr><tr>\n					<th>Hose Included</th><td>yes</td>\n				</tr><tr>\n					<th>Max Temperature (°F)</th><td>150       </td>\n				</tr><tr>\n					<th>Warehouse</th><td> </td>\n				</tr>\n			</table><table class=""description-table"">\n			<tr>\n				<th>A</th><td>26.375""</td>\n			</tr><tr>\n				<th>B</th><td>26.25""</td>\n			</tr><tr>\n				<th>C</th><td>22.25""</td>\n			</tr><tr>\n				<th>D</th><td>7.75""</td>\n			</tr><tr>\n				<th>E</th><td>12""</td>\n			</tr><tr>\n				<th>F</th><td>24.125""</td>\n			</tr><tr>\n				<th>G</th><td>4.75""</td>\n			</tr>\n		</table></div>",""
