id,catalog_number,additional_description
251466,S618BS 1 1/4,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
251458,S615BS 1 3/16,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
251470,S620BS 1,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
251463,S616BS 1 3/16,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
260394,24A68,"
                    Metric A Plates are flat sprockets with no hub extension on either side. They can be altered for your application with bolt holes, custom bores, hardened teeth or special hubs welded to them.
                "
252002,CCB6A-SS,"
                     Conveyor Coupling Bolts are manufactured from special analysis high-torque steel.  The close tolerance minimizes wear and maintenance.  Designed with short thread length and close tolerance to fit distinctively in conveyor screws. Lock nuts are furnished with each bolt.
                "
252006,CCB7-SS,"
                     Conveyor Coupling Bolts are manufactured from special analysis high-torque steel.  The close tolerance minimizes wear and maintenance.  Designed with short thread length and close tolerance to fit distinctively in conveyor screws. Lock nuts are furnished with each bolt.
                "
251982,CCB2-SS,"
                     Conveyor Coupling Bolts are manufactured from special analysis high-torque steel.  The close tolerance minimizes wear and maintenance.  Designed with short thread length and close tolerance to fit distinctively in conveyor screws. Lock nuts are furnished with each bolt.
                "
252406,10TE3-BB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
251457,S615BS 1 1/8,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
251473,S620BS 1 3/16,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
251461,S616BS 1 1/4,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
251551,TC8144,"
                    Martin Stock Spur Gears are available in five different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating surfaces. Martin cast gears are cast with a larger hub to provide extra strength and to allow for larger bores.   Spur gears are stocked in both 14 ½ and 20 degree pressure angles.
                "
252742,18TE6-BB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
252818,20TE7-BB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
252898,4TE2-BB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
251472,S620BS 1 1/8,"
                    Martin Stock Spur Gears are available in ?ve different styles.  Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating sur
                "
252357,10CH603,"
                    No. 60 hangers are furnished with a heavy duty, permanently lubricated and sealed, self-aligning ball bearing which permits temperatures up to 245º F. and will allow for up to 4 º shaft misalignments. This hanger is mounted on top of the trough flanges. Grease fitting can be furnished if specified.
                "
252409,10TE4-RB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
252713,18CTA10-12,"
                     The angle flange U-trough has a fabricated U-shaped steel body with angle iron top flanges and drilled end flanges.
                "
252712,18CIF,"
                    Standard flanged conveyor inlets are designed to be bolted or welded to either a flat or flanged conveyor trough cover.  The inlet size and bolt arrangement is the same as the standard conveyor discharge spout per CEMA standards.
                "
252740,18TEF7-BB-P,"
                    Outside trough ends with feet are used to support end bearing and cover.  Drilling for ball bearings or roller bearings.
                "
252744,18TE7-BB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
252816,20TE6-BB-P,"
                    Outside trough ends less feet are used to support end bearing and cover when no trough support is required.  Drilling for ball bearings or roller bearings.
                "
2974018,2 B 70 SK,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000 FPM, or if they will be used on equipment where vibration is a problem.  Martin has extensive inventories of both QD and TB style V-Belt sheaves to accept “A”, “B”, “C”, and “D” belts.  
                "
2926260,SDE6-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926268,SDR4K-1,"
                    This tool set includes 4 screwdrivers, which come in a pouch for storage. The screwdrivers included are a mechanics screwdriver, an electrical screwdriver, and 2 phillips screwdrivers. . All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque. They have ergonomically and accurately sized cellulose acetate handles, have serrated faces to resist slipping, and bright zinc plated to resist corrosion.
                "
2926272,SDR8-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926276,SDS3K-1,"
                    This tool set includes 3 square-blade screwdrivers of various sizes, which come in a pouch for storage. Square Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws which require a greater amount of torque. The square shape allows you to quickly and conveniently apply an adjustable, or other style, wrench to the shank of the screwdriver for additional torque. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926280,SD10K,"
                    This tool set includes a combination of 10 screwdrivers. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque. They have ergonomically and accurately sized cellulose acetate handles, have serrated faces to resist slipping, and bright zinc plated to resist corrosion.
                "
2926264,SDP4-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926292,1 B 154 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926296,1 B 70 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926392,2 B 42 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926396,2 B 52 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926416,3 B 34 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926428,3 B 86 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926436,3 5V 550 Q,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926432,3 C 60 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926452,4 B 62 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926460,4 C 60 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926480,5 5V 1090 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926504,6 5V 800 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926540,8 5V 5000 U,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926484,5 5V 850 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926544,8 5V 850 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926261,SDE8-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926269,SDR5K-1,"
                    This tool set includes 5 screwdrivers, which come in a pouch for storage. The screwdrivers included are 4 different sizes of mechanical screwdrivers and an electrical screwdriver. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque. They have ergonomically and accurately sized cellulose acetate handles, have serrated faces to resist slipping, and bright zinc plated to resist corrosion.
                "
2926273,SDS1-1,"
                    Stubby screwdrivers are a tight clearance, sturdy driver. They have ergonomically and accurately sized cellulose acetate handles with color coded inlays for easy identification. The serrated faces are resistant to slipping and they are bright zinc plated to resist corrosion. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque.
                "
2926265,SDP4K-1,"
                    This tool set includes 4 Phillips screwdrivers, which come in a pouch for storage. Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926277,SDS4-1,"
                    Square Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws which require a greater amount of torque. The square shape allows you to quickly and conveniently apply an adjustable, or other style, wrench to the shank of the screwdriver for additional torque. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926293,1 B 40 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926297,1 B 90 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926389,2 B 36 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926385,2 B 136 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926405,2 B 74 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926409,2 B 94 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926413,3 B 124 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926433,3 C 70 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926457,4 C 140 R,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926477,5 3V 1400 Q,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926481,5 5V 1320 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926461,4 C 70 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926501,6 5V 1030 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926453,4 B 70 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926485,5 5V 900 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926537,8 5V 2500 U,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926545,8 5V 900 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926437,3 5V 800 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926541,8 5V 710 Q,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926262,SDP1-1,"
                    Stubby screwdrivers are a tight clearance, sturdy driver. They have ergonomically and accurately sized cellulose acetate handles with color coded inlays for easy identification. The serrated faces are resistant to slipping and they are bright zinc plated to resist corrosion. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque.
                "
2926266,SDP6-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926270,SDR6-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926274,SDS10-1,"
                    Square Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws which require a greater amount of torque. The square shape allows you to quickly and conveniently apply an adjustable, or other style, wrench to the shank of the screwdriver for additional torque. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926258,SC40MM,"
                    Crowfoot Socket Wrench Attachments are drop forged from steel bar. These wrenches are available in drive sizes of 3/8” and ½”, in 12 point Flare-Nut openings in fractional sizes. They come in Chrome and Industrial Black finish. These are special purpose attachment heads designed to accept either a socket wrench handle or extension piece, for use in tightening or loosening nuts which are in odd positions. The 12 point Flare nut design provides extreme flexibility in addressing these situations. The extra head thickness provides maximum surface contact area and helps prevent marring of fittings. 
                "
2926278,SDS6-1,"
                    Square Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws which require a greater amount of torque. The square shape allows you to quickly and conveniently apply an adjustable, or other style, wrench to the shank of the screwdriver for additional torque. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
2926294,1 B 42 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926298,1 C 100 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926386,2 B 160 R,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926394,2 B 48 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926410,2 3V 450 P,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926418,3 B 38 P,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926430,3 B 94 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926434,3 C 80 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926426,3 B 74 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926438,3 5V 850 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926462,4 C 80 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926458,4 C 160 R,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926474,5 B 60 Q,"
                    Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding
                "
2926482,5 5V 1400 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926478,5 3V 650 Q,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926538,8 5V 2800 U,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926546,8 5V 925 S,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926502,6 5V 1090 R,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926542,8 5V 750 Q,"
                     Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000
                "
2926259,SDE4-1,"
                    Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmaker’s or Electrician’s) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanic’s Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw.
                "
