id;catalog_number;description;add_descr;img_url;attributes
286396;C48CP015;C48CP015 C48C DC(2PPSLRSNKSER);"<h5>Description</h5><p>The C48CP015 is a dual preset counter with solid-state outputs. The solid-state outputs are NPN current sinking, open-collector transistor outputs. This model has an additional output configured as a prescaler output. The Prescaler Output is useful for providing a lower frequency scaled pulse train to a PLC or another external totalizing counter. The Prescaler Output provides a programmable width output pulse for every count or every 10 counts registered on the display.</p>&#13;<p>The C48C features a 7 segment, 2 line by 6 digit reflective LCD display. The main display line shows the count value. The smaller secondary display line can be used to view the prescaler value, preset values, or output time values.</p>&#13;<p>The C48C offers a choice of nine programmable counting modes for use in applications requiring bi-directional, anti-coincidence, and quadrature counting. The unit may be programmed to register counts on both edges of the input signal providing frequency doubling capability. DIP switches are used for input configuration set-up and to provide a Program Disable function.</p>&#13;<p>Four front panel push-buttons are used for programming the operating modes and data values, changing the viewed display, and performing user programmable functions, e.g. reset, etc. The C48C can be configured for one of two numeric data entry methods, digit entry or automatic scrolling. The digit entry method allows for the selection and incrementing of digits individually. The automatic scrolling method allows for the progressive change of one through all digit positions by pressing and holding the &#147;up&#148; or &#147;down&#148; button.</p>&#13;<p>The Program Disable DIP switch, a user-programmable code value, and an external user input selected for Program Disable can be utilized to provide multi-level protection against unauthorized changes to data values and unit configuration.</p>&#13;<p>The C48 Counter has programmable User Inputs and a programmable front panel function key. The user inputs can be configured as sinking (active low) or sourcing (active high) inputs via a single plug jumper.</p>&#13;<p>The RS-485 serial communication interface provides two-way communication between a C48 and other compatible equipment such as a printer, PLC, HMI, or a host computer. In multipoint applications (up to thirty-two), the address number of each C48 on the line can be programmed from 0 to 99. Data from the C48 can be interrogated or changed, and alarm output(s) may be reset by sending the proper command code via serial communications. PC software, SFC48, allows for easy configuration of controller parameters. These settings can be saved to disk for later use or used for multi-controller down loading. On-line help is provided within the software.</p>&#13;<p>Optional programming software (SFC48) is available to program all unit configuration parameters. The software allows unit configurations to be created, uploaded, downloaded, and saved to a file for later use or multi-unit programming.</p>&#13;<p>The unit is constructed of a lightweight, high impact plastic case with a textured front panel and a clear display window. The front panel meets NEMA 4X/IP65 specifications when properly installed. Multiple units can be stacked horizontally or vertically. Modern surface-mount technology, extensive testing, plus high immunity to noise interference makes the C48 Counters extremely reliable in industrial environments.</p><h5>Specifications</h5><div><p>• Dual Preset Version\n• 50 mm x 50 mm\n• 2 Line, 6 Character Reflective LCD\n• Bi-Directional and Quadrature Counting\n• Dual NPN OC Outputs\n• Prescaler Output\n• RS-485 Communications\n• Up to 11 KHz\n• NEMA 4X/IP65\n </p>\n</div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>ENC11000</th>          \n          <td>ENC11 NEMA 4/IP65 1/16 DIN Enclosure</td>    </tr>\n  <tr>\n      \n          <th>ENC11A00</th>          \n          <td>ENC11A NEMA 4X/IP65 Enclosure for one 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC11B00</th>          \n          <td>ENC11B NEMA 4X/IP65 Enclosure for two 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC30000</th>          \n          <td>ENC3 Legend/Libra/C48/P48/P16/T16/T48/PXV Enclosure NEMA 1</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>BMK30000</th>          \n          <td>BMK3 Base Mount Kit for Legend Libra, T16, P16, T48, P48, C48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMK3C000</th>          \n          <td>PMK3C C48, T48, P16, T16 and PXU Mounting Panel</td>    </tr>\n  <tr>\n      \n          <th>PMK60000</th>          \n          <td>PMK6 Panel Mount Adapter Kit (1/8 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMK70000</th>          \n          <td>PMK7 Panel Mount Adapter Kit (1/4 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMKCC100</th>          \n          <td>PMKCC1 50 x 50 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC200</th>          \n          <td>PMKCC2 72 x 72 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC300</th>          \n          <td>PMKCC3 60 x 75 mm Panel Mount 2 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PNL3F000</th>          \n          <td>PNL3F Panel for 1/16 DIN Units</td>    </tr>\n  <tr>\n      \n          <th>PNL3G000</th>          \n          <td>PNL3G Panel for 1/16 DIN Units with Keylock</td>    </tr>\n    <tr>\n      \n          <th>RBC48001</th>          \n          <td>C48 Replacement Board 1 Preset NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48002</th>          \n          <td>C48 Replacement Board 1 Preset PNPOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48003</th>          \n          <td>C48 Replacement Board 2 Preset Relay</td>    </tr>\n  <tr>\n      \n          <th>RBC48004</th>          \n          <td>C48 Replacement Board 3 Preset Relay NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48005</th>          \n          <td>C48 Replacement Board 3 Preset Relay PNPOC</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6396/c48-lcd.jpg;nan
286400;C48CP110;C48CP110 C48C DC (2PPSLBSNK);"<h5>Description</h5><p>The C48CP110 is a dual preset counter with solid-state outputs. The solid-state outputs are NPN current sinking, open-collector transistor outputs. This model has an additional output configured as a prescaler output. The Prescaler Output is useful for providing a lower frequency scaled pulse train to a PLC or another external totalizing counter. The Prescaler Output provides a programmable width output pulse for every count or every 10 counts registered on the display.</p>&#13;<p>The C48C features a 7 segment, 2 line by 6 digit backlit LCD display. For the backlit versions, the main display line is red and shows the count value. The smaller secondary display line is green and can be used to view the prescaler value, preset values, or output time values.</p>&#13;<p>The C48C offers a choice of nine programmable counting modes for use in applications requiring bi-directional, anti-coincidence, and quadrature counting. The unit may be programmed to register counts on both edges of the input signal providing frequency doubling capability. DIP switches are used for input configuration set-up and to provide a Program Disable function.</p>&#13;<p>Four front panel push-buttons are used for programming the operating modes and data values, changing the viewed display, and performing user programmable functions, e.g. reset, etc. The C48C can be configured for one of two numeric data entry methods, digit entry or automatic scrolling. The digit entry method allows for the selection and incrementing of digits individually. The automatic scrolling method allows for the progressive change of one through all digit positions by pressing and holding the &#147;up&#148; or &#147;down&#148; button.</p>&#13;<p>The Program Disable DIP switch, a user-programmable code value, and an external user input selected for Program Disable can be utilized to provide multi-level protection against unauthorized changes to data values and unit configuration.</p>&#13;<p>The C48 Counter has programmable User Inputs and a programmable front panel function key. The user inputs can be configured as sinking (active low) or sourcing (active high) inputs via a single plug jumper.</p>&#13;<p>The unit is constructed of a lightweight, high impact plastic case with a textured front panel and a clear display window. The front panel meets NEMA 4X/IP65 specifications when properly installed. Multiple units can be stacked horizontally or vertically. Modern surface-mount technology, extensive testing, plus high immunity to noise interference makes the C48 Counters extremely reliable in industrial environments.</p><h5>Specifications</h5><div><ul><li>Dual Preset Version</li>\n<li>50 mm x 50 mm</li>\n<li>2 Line, 6 Character Transmissive LCD w/Backlighting</li>\n<li>Red Top Line and Green Bottom Line Display</li>\n<li>Bi-Directional and Quadrature Counting</li>\n<li>Dual NPN OC Outputs</li>\n<li>Prescaler Output</li>\n<li>Up to 11 KHz</li>\n<li>NEMA 4X/IP65</li>\n</ul></div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>ENC11000</th>          \n          <td>ENC11 NEMA 4/IP65 1/16 DIN Enclosure</td>    </tr>\n  <tr>\n      \n          <th>ENC11A00</th>          \n          <td>ENC11A NEMA 4X/IP65 Enclosure for one 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC11B00</th>          \n          <td>ENC11B NEMA 4X/IP65 Enclosure for two 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC30000</th>          \n          <td>ENC3 Legend/Libra/C48/P48/P16/T16/T48/PXV Enclosure NEMA 1</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>BMK30000</th>          \n          <td>BMK3 Base Mount Kit for Legend Libra, T16, P16, T48, P48, C48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMK3C000</th>          \n          <td>PMK3C C48, T48, P16, T16 and PXU Mounting Panel</td>    </tr>\n  <tr>\n      \n          <th>PMK60000</th>          \n          <td>PMK6 Panel Mount Adapter Kit (1/8 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMK70000</th>          \n          <td>PMK7 Panel Mount Adapter Kit (1/4 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMKCC100</th>          \n          <td>PMKCC1 50 x 50 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC200</th>          \n          <td>PMKCC2 72 x 72 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC300</th>          \n          <td>PMKCC3 60 x 75 mm Panel Mount 2 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PNL3F000</th>          \n          <td>PNL3F Panel for 1/16 DIN Units</td>    </tr>\n  <tr>\n      \n          <th>PNL3G000</th>          \n          <td>PNL3G Panel for 1/16 DIN Units with Keylock</td>    </tr>\n    <tr>\n      \n          <th>RBC48001</th>          \n          <td>C48 Replacement Board 1 Preset NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48002</th>          \n          <td>C48 Replacement Board 1 Preset PNPOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48003</th>          \n          <td>C48 Replacement Board 2 Preset Relay</td>    </tr>\n  <tr>\n      \n          <th>RBC48004</th>          \n          <td>C48 Replacement Board 3 Preset Relay NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48005</th>          \n          <td>C48 Replacement Board 3 Preset Relay PNPOC</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6400/c48_F5Pb1vD.jpg;nan
286405;HWK20000;HWK20000 CUB2 SPARE HARDWARE KIT;nan;product_images/28/6405/default_286405.jpg;nan
286410;MBM20000;MBM20000 BOTTOM MOUNT BRACKET KIT;nan;product_images/28/6410/MBLPAX00-200.gif;nan
286414;TORM0333;TORM0333 1/3 METER NEOPRENE TIRE;nan;product_images/28/6414/TOR%20Neoprene%20Tire.jpg;nan
286419;MB700000;MB700000 PSAFP2 MOUNTING SPACER;nan;product_images/28/6419/MB5B0000.jpg;nan
286434;PAXLBK10;PAXLBK10 PAX LABEL KIT;nan;product_images/28/6434/paxla-200.jpg;nan
286439;PNL1D000;PNL1D000 ENC-10 LIBRA MNT PANEL;nan;product_images/28/6439/default_286439.jpg;nan
286445;PNL3E000;PNL3E000 ENC-30 BLANK FRONT PANEL;nan;product_images/28/6445/default_286445.jpg;nan
286451;MB5B0000;MB5B0000 30mm RT ANGLE BRACKET;nan;product_images/28/6451/default_286451.jpg;nan
286455;PMK1A000;PMK1A000 1/32 DIN - 50x60mm PANEL;nan;product_images/28/6455/default_286455.jpg;nan
286460;PMK3C000;PMK3C000 1/16 DIN PANEL FOR BMK3;nan;product_images/28/6460/default_286460.jpg;nan
286466;PNL3F000;PNL3F000 1/16 DIN PANEL FOR ENC3;nan;product_images/28/6466/default_286466.jpg;nan
286483;RLYBD000;RLYBD000 GEMINI 1 RELAY BD;nan;product_images/28/6483/rly7-200.GIF;nan
286487;PNL3G000;PNL3G000 1/16 DIN PNL ENC3 W/LOCK;nan;product_images/28/6487/pnl3f-200.gif;nan
286508;PMK2A000;PMK2A000 CUB4/5DT8-55x140mm W/LK;nan;product_images/28/6508/default_286508.jpg;nan
286523;PMK60000;PMK60000 PNL MNT KIT1/8 TO 1/16DN;nan;product_images/28/6523/pmk5-200.jpg;nan
286531;WI0006OK;WI0006OK 6IN RIBBED ALUM LSM WHEEL;nan;product_images/28/6531/WI0006OF-200.jpg;nan
286541;CUB3R000;CUB3R000 CUB3 CNTR W/REMOTE RESET;nan;product_images/28/6541/default_286541.jpg;nan
286554;CUB5COM2;CUB5COM2 CUB5 RS232 SRL OPT CARD;nan;product_images/28/6554/cub5comms-200.jpg;nan
286558;MP37TA00;MP37TA00 MP-37TA MAGNETIC SENSOR;nan;product_images/28/6558/MP37CA-200.jpg;nan
286566;RBC48004;RBC48004 C48 OUT BD:3PRLYSINK SS;nan;product_images/28/6566/c48relay-200.gif;nan
286570;TCM10000;TCM10000 TRIAC CONVERSION MOD.115V;nan;product_images/28/6570/image%20NA_0.gif;nan
286575;RPGFC002;RPGFC002 RPG FLEX COUPLING.25x.375;nan;product_images/28/6575/rpgfc-200.jpg;nan
286579;ENC10000;ENC10000 SMALL ENCLOSURE KIT;nan;product_images/28/6579/PRM_RRM-200_0.GIF;nan
286586;TMPACC02;TMPACC02 WEATHERPROOF HEAD;<h5>Description</h5><p>This is the weatherproof head accessory for the TMP products.</p><h5>Specifications</h5><div><ul><li>Cast Aluminum</li>\n<li>Protects Against Dust, Rain, Splashing, and Hose Directed Water</li>\n<li>Weatherproof Gasket</li>\n</ul></div>;product_images/28/6586/tmpacc01-200.gif;nan
286590;WM0333OF;WM0333OF 1/3 MTR FLAT POLY. WHEEL;nan;product_images/28/6590/WI0006OK-200.jpg;nan
286600;WY0400OR;WY0400OR 4/10 YD NEOPRENE TIRE WHL;nan;product_images/28/6600/wheel-of-200.gif;nan
286612;CUB3T300;CUB3T300 CUB3T L/LOCAL RESET (HR);nan;product_images/28/6612/default_286612.jpg;nan
286616;CUB3T400;CUB3T400 CUB3T W/LOCAL RESET (HR);nan;product_images/28/6616/default_286616.jpg;nan
286627;G3FILM03;G3FILM03 G303 OVERLAY FILM (10/PK);nan;product_images/28/6627/g3enet-200.gif;nan
286636;CCBRPG01;CCBRPG01 7P CONNECTOR 10 CABLE;nan;product_images/28/6636/image%20NA_0.gif;nan
286640;PAXCDC20;PAXCDC20 PAX RS232 OPTION CARD;nan;product_images/28/6640/paxcdc1c.gif;nan
286654;LMPC0000;LMPC0000 LOGIC MAGNETIC SENSOR(OC);nan;product_images/28/6654/default_286654.jpg;nan
286664;ENC8B000;ENC8B000 CUB4/5DT8 W/MLPS N4X ENC;nan;product_images/28/6664/enc8a-200.gif;nan
286672;GCM23201;GCM23201 SERIAL CONV MOD (RS-232);nan;product_images/28/6672/G3USBcard-200.gif;nan
286682;SFCRM200;SFCRM200 CRIMSON V2.0 KIT (HMI);nan;product_images/28/6682/default_286682.jpg;nan
286686;TMPT2SU1;TMPT2SU1 T TYPE TC PROBE 400 DEG;"<h5>Description</h5><p>Model TMP Thermocouple and RTD Temperature Probes are field cuttable to the desired length. The probes can be trimmed to within 3.5' (88.9 mm) of the probe tip allowing for greater application flexibility. Accessory hardware is available to wire and mount the probes in the users existing thermowell.</p>&#13;<p>Optional spring loaded fittings (sold separately) slide along the probe sheath to proper immersion depth as determined by the user. These fittings allow for strong contact between the probe and the thermowell to improve response. The spring loaded fittings are adjustable and reusable.</p><h5>Specifications</h5><div><ul><li>Themocouple Sensor, Type K</li>\n<li>-328° to 400° F (-200° to 200° C)</li>\n<li>Field Cuttable Temperature Probe can be cut from 24"" to 3.5""</li>\n<li>Neoflon PFA Wire Insulation</li>\n</ul></div>";product_images/28/6686/tmprt002-200_0.gif;nan
286690;TMPE2SU2;TMPE2SU2 E TYPE TC PROBE 900 DEG;nan;product_images/28/6690/TMP-200_0.GIF;nan
286710;CUB4L8WM;CUB4L8WM CUB4L 8D LCD VCM/V+ TERM;nan;product_images/28/6710/cub-8dig-lcd.gif;nan
286725;CUB7P210;CUB7P210 CUB7 8D CNTRLOGICGRN;nan;product_images/28/6725/Cub7t.GIF;nan
286737;PSA20000;PSA20000 2-WIRE PROX SENSOR 30mm;nan;product_images/28/6737/psa1b-200.gif;nan
286768;TMPJ2SU3;TMPJ2SU3 J TYPE TC PROBE 1300 DEG;"<h5>Specifications</h5><div><ul><li>Themocouple Sensor, Type J</li>\n<li>32° to 700° F (0° to 370° C)</li>\n<li>Field Cuttable Temperature Probe can be cut from 24"" to 3.5""</li>\n<li>High Temperature Fiberglass Wire Insulation\n	 </li>\n</ul><p> </p>\n</div>";product_images/28/6768/TMP-200_0.GIF;nan
286788;PSAC0000;PSAC0000 NPN O.C. PROXIMITY SENSOR;nan;product_images/28/6788/psa8b-200.gif;nan
286792;ENC80000;ENC80000 CUB4/5DT8 NEMA 4 ENC;nan;product_images/28/6792/default_286792.jpg;nan
286802;PRMDC001;PRMDC001 PROX. DC PHOTO W/PICO CON;"<h5>Description</h5><p>The Model PRMDC is a miniature, DC powered, Proximity (Diffuse) photo-electric sensor with a 8' maximum detecting distance. This sensor requires no special reflectors or reflective tapes and the limited 8' sensing range reduces detection of background reflections. It is ideally suited for detection of transparent or translucent objects, parts ejected from presses, and rotating targets such as pulley spokes. A modulated &#147;infrared&#148; LED light beam provides immunity to ambient light. In operation, the modulated light beam is reflected by the object to be detected. Actual sensing range is determined by the surface area and the amount of reflectivity of the object. This reflected light is sensed by a photo-transistor, amplified, demodulated and then energizes the outputs.</p>&#13;<p>The sensor provides application flexibility in counting, positioning and object detection. The unit is interchangeable with conventional 12 mm threaded barrel-type photo-electrics and inductive proximity sensors. The small size, in addition to various mounting options, greatly increases alignment ease and application possibilities.</p>&#13;<p>The unit can be powered by supplies ranging from +10 to +30 VDC and are reverse polarity protected. The complementary NPN open collector (Current Sinking) outputs are protected from continuous overload and inductive load transients and are rated to 150 mA, with low saturation voltage and less than 10 &#181;A off-state leakage current. In addition, no false outputs are generated at power-up. The sensor has a 6 inch long quick disconnect Pico-style connector which provides supply input and transistor output.</p>&#13;<p>The miniature sensor offers a digital gain adjustment that uses a single sealed push button to streamline installation and setup. The user simply holds the button in to achieve maximum sensitivity, and then can click the button for seven decremental settings to fine tune for your application. They also feature smart new status indicators. Green and amber LED&#146;s display operating status from three directions, indicate &#147;power on&#148; and &#147;light sensed&#148; and flash to signal &#147;maximum gain,&#148; &#147;gain reduced one increment&#148; and &#147;minimum gain&#148; conditions. You can tell operating status of your sensors at a glance.</p><h5>Specifications</h5><div><ul><li>Proximity (Diffuse) Photo Electric Sensor</li>\n<li>Pico Connector</li>\n<li>Modulated LED Light Beam</li>\n<li>10 to 30 VDC Power</li>\n<li>NPN &amp; PNP Outputs</li>\n<li>Various Mounting Brackets and Reflective Targets</li>\n<li>NEMA 1, 2, 3, 3S, 4, 4x, 12 &amp; 13</li>\n</ul></div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>CCMPE000</th>          \n          <td>CABLE Pico QD Connector/Cable 2m (Mini Photoelectric sensors)</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6802/PRM_RRM-200_0.GIF;nan
