additional_description,description,ids,item_code,ordering_number
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >60 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54597 RS187J60NC FASTENERS,157549,54597,RS187J60NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54593 RS187J30/750NC FASTENERS,157545,54593,RS187J30/750NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >20 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54591 RS187J20/500NC FASTENERS,157543,54591,RS187J20/500NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54589 RS187J16/400NC FASTENERS,157541,54589,RS187J16/400NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >24 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54592 RS187J24/600NC FASTENERS,157544,54592,RS187J24/600NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >12 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54588 RS187J12/300NC FASTENERS,157540,54588,RS187J12/300NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >10 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54587 RS187J4NC FASTENERS,157539,54587,RS187J4NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54560 RS125SJ42NCS FASTENERS,157536,54560,RS125SJ42NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54594 RS187J36/900NC FASTENERS,157546,54594,RS187J36/900NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Steel Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54590 RS187J18/450NC FASTENERS,157542,54590,RS187J18/450NC
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >60 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54559 RS125SJ60NCS FASTENERS,157535,54559,RS125SJ60NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS187</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Stainless Spring Wire</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-1/4 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >4 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >200 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >48 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54611 RS187SJ48SS FASTENERS,157562,54611,RS187SJ48SS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >48 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54558 RS125SJ48NCS FASTENERS,157534,54558,RS125SJ48NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54557 RS125SJ36/900NCS FSTNRS,157533,54557,RS125SJ36/900NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >20 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54554 RS125SJ20/500NCS FSTNRS,157530,54554,RS125SJ20/500NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54556 RS125SJ30/750NCS FSTNRS,157532,54556,RS125SJ30/750NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >24 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54555 RS125SJ24/600NCS FSTNRS,157531,54555,RS125SJ24/600NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54553 RS125SJ18/450NCS FSTNRS,157529,54553,RS125SJ18/450NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >12 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54550 RS125SJ12/300NCS FSTNRS,157526,54550,RS125SJ12/300NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >10 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54549 RS125SJ10NCS FASTENERS,157525,54549,RS125SJ10NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Stainless Cable</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54551 RS125SJ14NCS FASTENERS,157527,54551,RS125SJ14NCS
<table> <tr> <td > <span >Size</span> </td> <td> <span >RS125</span> </td> </tr><tr> <td > <span >Hinge Pin</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span > ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Stainless Spring Wire</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Light Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >4 Sets Per Box</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Alligator<sup>®</sup> Staple System</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >1/8-3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >3 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >160 PIW</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless (Type 316)</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Alligator</span> </td></tr></table>,Flexco 54547 RS125SJ42SS FASTENERS,157524,54547,RS125SJ42SS
