attributes,main_image,id,additional_description,catalog_number
Base Code:7060|Color:Pink|Length:11.8 in.|Width:2.8 in.|Height:4.5 in.|Weight:1.32 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72834/70601_1.jpg,2072834,"<p><br>This floor scrubbing broom has firm bristles. The bristle length is perfect for scrubbing all types of floors; epoxy, tiles, cement, etc. It also reaches well into holes and grouting to remove hidden dirt.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",70601
Base Code:1016|Color:Pink|Length:3 in.|Width:0.8 in.|Height:2.4 in.|Weight:0.14 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72818/10161_1.jpg,2072818,"<p><br>This kit contains 4 hooks and 8 pins for use with wall brackets 1017 and 1018. Allows total customization of the wall bracket system to fit any color-coded program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>1.25</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.125</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.14</td>\n																\n															</tr>\n                        \n														</table>",10161
"Base Code:7125|Color:Orange|Length:9.4 in.|Width:3.5 in.|Height:3.4 in.|Weight:0.45 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/72914/71257_1.jpg,2072914,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>9.84</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.45</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71257
Base Code:5689|Color:Green|Length:11.3 in.|Width:9.75 in.|Height:0.5 in.|Weight:0.26 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72850/56892_1.jpg,2072850,"<p><br>This pail lid is useful for preventing spillage of materials. It has a clip system for securing the lid tightly.  Corresponds with part number 5688.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.96</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>0.59</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.26</td>\n																\n															</tr>\n                        \n														</table>",56892
Base Code:2938|Thread:Hygienic (Euro)|Color:Purple|Length:59.2 in.|Width:1.25 in.|Weight:1.16 lbs.|Material:Fiberglass|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,http://products.remcoproducts.com/images/products/29388_M.jpg,2072874,"This standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.",29388
Base Code:5391|Color:Yellow|Length:7.70 in.|Width:3.50 in.|Height:3.50 in.|Weight:0.15 lbs.|Bristle Material:Polyester|Bristle StiffnessMedium|Bristle Length3.94 in.|Material:Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72862/remco_53916.jpg,2072862,"Tube brushes for flexible handles are a great solution for cleaning machinery and equipment with narrow valves, pipes and other parts. This full-bristle tube brush cleans many commonly-sized tubes and valves. The specialized thread on this brush fits the Vikan long flexible handles 5350 and 53525. The bristles are dense and firm enough to clean thoroughly, but flexible enough to move with the shape of the equipment being cleaned.",53916
Base Code:7013|Thread:Hygienic (Euro)|Color:Green|Length:8.7 in.|Width:4.3 in.|Height:1 in.|Weight:0.26 lbs.|Material:Polyethylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72946/70132_1.jpg,2072946,"<p><br>This scraping blade is used to remove remaining food stuff from containers prior to the cleaning procedure. It is flexible and is used as a spatula for large or medium sized containers. Requires a European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>4.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polyethylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.28</td>\n																\n															</tr>\n                        \n														</table>",70132
"Replaces Product Code:70735|Base Code:7170|Color:White|Length:27.2 in.|Width:3.1 in.|Height:3.9 in.|Weight:0.88 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/72866/71705_1.jpg,2072866,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>27.56</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.93</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71705
Base Code:7011|Thread:Hygienic (Euro)|Color:Green|Length:8.75 in.|Width:4.3 in.|Height:1 in.|Weight:0.32 lbs.|Material:Nylon|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 338° F/170° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72942/70112_1.jpg,2072942,"<p><br>This scraping blade is used to remove remaining food stuff from containers prior to the cleaning procedure. Its rigid construction is useful when firm pressure needs to be applied into deep containers. Requires a European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>4.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Nylon</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.32</td>\n																\n															</tr>\n                        \n														</table>",70112
"Replaces Product Code:70716|Base Code:7150|Color:Yellow|Length:19.5 in.|Width:3.5 in.|Height:4.1 in.|Weight:0.55 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/72910/71506_1.jpg,2072910,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>19.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71506
"Replaces Product Code:70712|Base Code:7150|Color:Green|Length:19.5 in.|Width:3.5 in.|Height:4.1 in.|Weight:0.55 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/72906/71502_1.jpg,2072906,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>19.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71502
Base Code:2972|Thread:Hygienic (Euro)|Color:Green|Length:67 in.|Width:1.25 in.|Weight:1.24 lbs.|Material:Fiberglass|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72962/29722_1.jpg,2072962,"<p><br>This long fiberglass handle can be used to wash walls and high areas on equipment.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>66.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Fiberglass</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.3</td>\n																\n															</tr>\n                        \n														</table>",29722
Base Code:2934|Thread:Hygienic (Euro)|Color:Green|Length:6.25 in.|Width:1.25 in.|Weight:0.11 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72994/29342_1.jpg,2072994,"<p><br>The mini-handle is commonly used with scraping blades for large flat surface areas like tables, tube brushes for round entry points of equipment, and paddles for scraping ingredients from large bowls and containers.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>6.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.1</td>\n																\n															</tr>\n                        \n														</table>",29342
