id,catalog_number,description,specifications
1695579,6341-2408,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:182 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695578,6341-2407,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:7 in 177.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:157 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695583,6341-3202,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:2 in 50.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:77 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695582,6341-2448,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:48 in 1219.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:1120 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695581,6341-2412,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:12 in 304.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:270 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695571,6341-1612,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:12 in 304.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:181 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695570,6341-1610,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:10 in 254.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:150 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695573,6341-2402,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:2 in 50.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:60 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695572,6341-1648,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:48 in 1219.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:726 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695569,6341-1608,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:121 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695574,6341-2403,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:3 in 76.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:68 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695575,6341-2404,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:4 in 101.60 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:91 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695577,6341-2406,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:6 in 152.40 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:133 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695576,6341-2405,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:5 in 127.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:112 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695562,6341-1248,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:48 in 1219.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:520 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695563,6341-1602,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:2 in 50.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:30 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695565,6341-1604,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:4 in 101.60 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:60 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695560,6341-1210,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:10 in 254.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:108 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695564,6341-1603,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:3 in 76.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:45 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695552,6341-0848,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:48 in 1219.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:390 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695558,6341-1207,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:7 in 177.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:76 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695557,6341-1206,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:6 in 152.40 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:63 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695566,6341-1605,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:5 in 127.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:74 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695553,6341-1202,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:2 in 50.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:21 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695555,6341-1204,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:4 in 101.60 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:42 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695556,6341-1205,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:5 in 127.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:53 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695549,6341-0808,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:65 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695568,6341-1607,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/2 in 12.70 mm|Width:7 in 177.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:104 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695546,6341-0805,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:5 in 127.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:38 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695547,6341-0806,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:6 in 152.40 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:47 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695561,6341-1212,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:12 in 304.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:128 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695554,6341-1203,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:3 in 76.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:32 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695548,6341-0807,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:7 in 177.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:56 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695559,6341-1208,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/8 in 9.53 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:90 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695543,6341-0802,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:2 in 50.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:16 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695550,6341-0810,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:10 in 254.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:78 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695541,6340-1608,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt for fine material</li><li>Temperature Range: -20 ºF (-29 ºC) to +180 ºF (+83 ºC)</li></ul>
        </div>","Gauge:1/2 in 12.70 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:109 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %|Applications:For use on conveyors, snow plow blades & chute lining. "
1695545,6341-0804,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1/4 in 6.35 mm|Width:4 in 101.60 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:31 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695538,6340-1604,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt for fine material</li><li>Temperature Range: -20 ºF (-29 ºC) to +180 ºF (+83 ºC)</li></ul>
        </div>","Gauge:1/2 in 12.70 mm|Width:4 in 101.60 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:60 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %|Applications:For use on conveyors, snow plow blades & chute lining. "
