id,catalog_number,description
38781,XFCBB38,"Altra Master No.:30214547|UPC:781711080740|Material:Bost-Bronz|Use With Coupling:FC38|Product Family:FC Series Coupling Insert|Product Description:Coupling Insert, FC Series, Bost-Bronz|Weight:1.001"
38785,XFCR20,"Altra Master No.:30214551|UPC:781711080825|Material:Rubber|Use With Coupling:FC20|Product Family:FC Series Coupling Insert|Product Description:Coupling Insert, FC Series, Rubber|Weight:0.041"
38789,XFCR45,"Altra Master No.:30214555|UPC:781711080900|Material:Rubber|Use With Coupling:FC45|Product Family:FC Series Coupling Insert|Product Description:Coupling Insert, FC Series, Rubber|Weight:0.331"
38865,MCB824,"Altra Master No.:30225672|UPC:781711330241|Inside Diameter:0.500000|Outside Diameter:1.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:7|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38869,MCB1020,"Altra Master No.:30225676|UPC:781711330326|Inside Diameter:0.625000|Outside Diameter:1.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:4|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38873,MCB1220,"Altra Master No.:30225683|UPC:781711330463|Inside Diameter:0.750000|Outside Diameter:1.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:3-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38885,MCB1432,"Altra Master No.:30225697|UPC:781711330784|Inside Diameter:0.875000|Outside Diameter:2.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:11|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38881,MCB1422,"Altra Master No.:30225692|UPC:781711330685|Inside Diameter:0.875000|Outside Diameter:1.3750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:4|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38901,MCB1840,"Altra Master No.:30225720|UPC:781711331262|Inside Diameter:1.125000|Outside Diameter:2.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:16-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38897,MCB1664,"Altra Master No.:30225712|UPC:781711331101|Inside Diameter:1.000000|Outside Diameter:4.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:50|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38905,MCB2030,"Altra Master No.:30225724|UPC:781711331347|Inside Diameter:1.250000|Outside Diameter:1.8750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:7|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38917,MCB2236,"Altra Master No.:30225740|UPC:781711331668|Inside Diameter:1.375000|Outside Diameter:2.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:11|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38913,MCB2056,"Altra Master No.:30225735|UPC:781711331569|Inside Diameter:1.250000|Outside Diameter:3.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:35-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38921,MCB2436,"Altra Master No.:30225745|UPC:781711331828|Inside Diameter:1.500000|Outside Diameter:2.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:10|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38925,MCB2444,"Altra Master No.:30225749|UPC:781711331903|Inside Diameter:1.500000|Outside Diameter:2.7500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:18|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38929,MCB2464,"Altra Master No.:30225753|UPC:781711332009|Inside Diameter:1.500000|Outside Diameter:4.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:45|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38933,MCB2638,"Altra Master No.:30225757|UPC:781711332085|Inside Diameter:1.625000|Outside Diameter:2.3750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:10-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38937,MCB2842,"Altra Master No.:30225765|UPC:781711332245|Inside Diameter:1.750000|Outside Diameter:2.6250|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:13-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38945,MCB3040,"Altra Master No.:30225775|UPC:781711332443|Inside Diameter:1.875000|Outside Diameter:2.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:9-3/4|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38949,MCB3242,"Altra Master No.:30225782|UPC:781711332580|Inside Diameter:2.000000|Outside Diameter:2.6250|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:10|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38953,MCB3256,"Altra Master No.:30225786|UPC:781711332689|Inside Diameter:2.000000|Outside Diameter:3.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:29|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38957,MCB3280,"Altra Master No.:30225790|UPC:781711332764|Inside Diameter:2.000000|Outside Diameter:5.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:69|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38961,MCB3644,"Altra Master No.:30225797|UPC:781711332948|Inside Diameter:2.250000|Outside Diameter:2.7500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:9|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38965,MCB3660,"Altra Master No.:30225803|UPC:781711333068|Inside Diameter:2.250000|Outside Diameter:3.7500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:30-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38973,MCB4064,"Altra Master No.:30225815|UPC:781711333327|Inside Diameter:2.500000|Outside Diameter:4.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:33-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38977,MCB4088,"Altra Master No.:30225820|UPC:781711333426|Inside Diameter:2.750000|Outside Diameter:5.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:78|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38981,MCB4472,"Altra Master No.:30225829|UPC:781711333600|Inside Diameter:3.000000|Outside Diameter:4.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:42|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38985,MCB4868,"Altra Master No.:30225834|UPC:781711333709|Inside Diameter:3.000000|Outside Diameter:4.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:31|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38989,MCB4888,"Altra Master No.:30225838|UPC:781711333785|Inside Diameter:3.000000|Outside Diameter:5.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:70|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38993,MCB5272,"Altra Master No.:30225842|UPC:781711333860|Inside Diameter:3.250000|Outside Diameter:4.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:34|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
38997,MCB5676,"Altra Master No.:30225847|UPC:781711333969|Inside Diameter:3.500000|Outside Diameter:4.7500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:35-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39005,MCB6496,"Altra Master No.:30225856|UPC:781711334140|Inside Diameter:4.000000|Outside Diameter:6.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:67-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39009,MCB72112,"Altra Master No.:30225860|UPC:781711334225|Inside Diameter:4.500000|Outside Diameter:7.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:97|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39013,MCB88120,"Altra Master No.:30225865|UPC:781711334348|Inside Diameter:5.500000|Outside Diameter:7.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:91|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39017,MCB104144,"Altra Master No.:30225869|UPC:781711334423|Inside Diameter:6.500000|Outside Diameter:9.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:130|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39021,MS14,"Altra Master No.:30225873|UPC:781711334508|Outside Diameter:0.8750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:2-3/4|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39025,MS22,"Altra Master No.:30225877|UPC:781711334584|Outside Diameter:1.3750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:6-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39029,MS30,"Altra Master No.:30225881|UPC:781711334669|Outside Diameter:1.8750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:11-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39033,MS42,"Altra Master No.:30225887|UPC:781711334782|Outside Diameter:2.6250|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:23-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39037,MS56,"Altra Master No.:30225892|UPC:781711334881|Outside Diameter:3.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:41|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39045,MS120,"Altra Master No.:30225901|UPC:781711335062|Outside Diameter:7.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:186|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39053,MS76,"Altra Master No.:30225913|UPC:781711335369|Outside Diameter:4.7500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Solid, 660 Cast Bronze|Weight:73|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39201,MCB1216,"Altra Master No.:30230763|UPC:781711476413|Inside Diameter:0.750000|Outside Diameter:1.0000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:1-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39205,MCB1620,"Altra Master No.:30230767|UPC:781711476451|Inside Diameter:1.000000|Outside Diameter:1.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39209,MCB2024,"Altra Master No.:30230771|UPC:781711476499|Inside Diameter:1.250000|Outside Diameter:1.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:2-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39217,MCB3036,"Altra Master No.:30230780|UPC:781711476581|Inside Diameter:1.875000|Outside Diameter:2.2500|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:5-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39213,MCB2430,"Altra Master No.:30230776|UPC:781711476543|Inside Diameter:1.500000|Outside Diameter:1.8750|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:4-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39221,MCB4856,"Altra Master No.:30230785|UPC:781711476635|Inside Diameter:3.000000|Outside Diameter:3.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:11-1/2|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39225,MCB6072,"Altra Master No.:30230789|UPC:781711476673|Inside Diameter:3.750000|Outside Diameter:4.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:22-1/4|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39229,MCB7288,"Altra Master No.:30230793|UPC:781711476710|Inside Diameter:4.500000|Outside Diameter:5.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:36|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39233,MCB88104,"Altra Master No.:30230797|UPC:781711476765|Inside Diameter:5.500000|Outside Diameter:6.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:43|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39237,MCB104120,"Altra Master No.:30230802|UPC:781711476819|Inside Diameter:6.500000|Outside Diameter:7.5000|Product Family:Bear-N-Bronz|Length:13.000000|Max PV Value:75,000|Max P Value:3,000|Max V Value (fpm):750|Product Description:Bearing, Bar, Cored, 660 Cast Bronze|Weight:50-1/4|California Provision:This product and wear debris contains lead, known to the State of California to cause cancer, birth defects or other reproductive harm."
39341,XFCA15,"Altra Master No.:30214536|UPC:781711080528|Material:Polyurethane|Use With Coupling:FC15|Product Family:FC Series Coupling Insert|Product Description:Coupling Insert, FC Series, Polyurethane|Weight:0.021"
39345,XFCA38,"Altra Master No.:30214540|UPC:781711080603|Material:Polyurethane|Use With Coupling:FC38|Product Family:FC Series Coupling Insert|Product Description:Coupling Insert, FC Series, Polyurethane|Weight:0.301"
39365,SP32,"UPC:781711509654|Outside Diameter:2.0000|Material:Glass Filled Teflon|Product Family:BOStonE|Assembly Types:30232907|Length:13.000000|Max PV Value:20,000|Max P Value:1,000|Max V Value (fpm):400|Product Description:Bearing, BOStonE F-1, solid bar, Glass Filled Teflon, 2"" OD|Weight:0.002|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39381,R700D,"UPC:781711574928|Inside Diameter:0.125000|Outside Diameter:0.7000|Material:Delrin|Product Family:BOStonE|Assembly Types:30238092|Length:0.562500|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 1/8"" ID|Weight:0.006|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39385,R900D,"UPC:781711574966|Inside Diameter:0.500000|Outside Diameter:0.9000|Material:Delrin|Product Family:BOStonE|Assembly Types:30238096|Length:0.562500|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 1/2"" ID|Weight:0.011|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39389,R1370D,"UPC:781711575000|Inside Diameter:0.500000|Outside Diameter:1.3700|Material:Delrin|Product Family:BOStonE|Assembly Types:30238100|Length:0.875000|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 1/2"" ID|Weight:0.031|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39393,R1620D,"UPC:781711575048|Inside Diameter:0.500000|Outside Diameter:1.6200|Material:Delrin|Product Family:BOStonE|Assembly Types:30238104|Length:1.000000|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 1/2"" ID|Weight:0.061|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39397,R2120D,"UPC:781711575086|Inside Diameter:0.500000|Outside Diameter:2.1200|Material:Delrin|Product Family:BOStonE|Assembly Types:30238108|Length:1.000000|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 1/2"" ID|Weight:0.081|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39405,R3750D,"UPC:781711575161|Inside Diameter:1.000000|Outside Diameter:3.7500|Material:Delrin|Product Family:BOStonE|Assembly Types:30238116|Length:2.000000|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 1"" ID|Weight:0.511|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39401,R2750D,"UPC:781711575123|Inside Diameter:0.750000|Outside Diameter:2.7500|Material:Delrin|Product Family:BOStonE|Assembly Types:30238112|Length:1.500000|Max PV Value:3,000|Max P Value:480|Max V Value (fpm):300|Product Description:Bearing, BOStonE, roller, Delrin, 3/4"" ID|Weight:0.196|Product Note:BOStonE F-1 bearings may be green, white or any other color."
39556,DS,"Horse Power:1/4|Voltage-Phase-Hz:115-1-60|Bore Code:B5|Product Family:AC Motors|Locked Rotor:3.15|Motor Type:AC Motor, ODP, C-Face|Full Load Eff %:56|Service Factor:1.35|Product Description:1/4 HP, 115/-1-60, 56C, Less Base|Weight:16"
