id,catalog_number,description,main_image
114984,100-HP-SP,DIXON 100-HP-SP SINTERED HANDLE,
114981,100-G-TEV,DIXON 100-G-TEV 1 TEFLON ENCAPSULATED VITON GASKE,
114903,P3-TFG-9,DIXON P3-TFG-9 LEFT CAM ARM,
114902,P3-TFG-8,DIXON P3-TFG-8 RIGHT CAM ARM,
114901,P3-TFG-6,DIXON P3-TFG-6 SPRING,
114900,P3-TFG-11,DIXON P3-TFG-11 DISC,
114899,P3-TFG-10,DIXON P3-TFG-10 ROD,
114898,P3-TFG-1,"DIXON P3-TFG-1 1/4\-20 THD. X 1\"" LONG""",
114890,100-A-HA,"DIXON 100-A-HA 1\ HAST-C ANDREWS \""A\"" ADAPTOR""",
114871,PW625B50RBS,DIXON PW625B50RBS 2 1/2 X 50 DJ POTABLE WATER HOSE,
114870,PW625B100RBS,"DIXON PW625B100RBS 2 1/2\ BLUE DOUBLE JACKET POTABLE""",
114869,PW615B50RBS,DIXON PW615B50RBS 1-1/2 50 DJ POTABLE WATER HOSE,
114868,PW615B100RBS,"DIXON PW615B100RBS 1 1/2\ BLUE DOUBLE JACKET POTABLE""",
114847,NF615Y50RAF,"DIXON NF615Y50RAF 1-1/2\ X 50 NON-WEEPING FORESTRY""",
114845,NF615Y100RAF,"DIXON NF615Y100RAF 1-1/2\ X 100 NON-WEEPING FORESTRY""",
114844,NF610Y50RAS,"DIXON NF610Y50RAS 1\ X 50 NON-WEEPING FORESTRY FIRE""",
114840,NF307Y50GHT,"DIXON NF307Y50GHT 3/4\ X 50 YELLOW MOP-UP HOSE CPLD""",
114821,M30-50GAX,"DIXON M30-50GAX 3\ X 50 MILL HOSE ASSEMBLY WITH""",
114818,M30-25GAX,"DIXON M30-25GAX 3\ X 25 MILL HOSE ASSEMBLY W/""",
114805,M25-50GAX,"DIXON M25-50GAX 2.5\ X 50 MILL HOSE COUPLED WITH""",
114800,M25-25GAX,"DIXON M25-25GAX 2-1/2\ X 25 MILL HOSE ASSEMBLY W/""",
114790,M20-50GAX,"DIXON M20-50GAX 2\ X 50 MILL HOSE ASSEMBLIES W/""",
114787,M20-25GAX,"DIXON M20-25GAX 2\ X 25 MILL HOSE ASSEMBLY W/""",
114774,M15-50GAX,"DIXON M15-50GAX 1-1/2\ X 50 MILL HOSE ASSEMBLY W/""",
114770,M15-25GAX,"DIXON M15-25GAX 1-1/2\ X 25 MILL HOSE ASSEMBLY W/""",
114764,J844-04-R-100,"DIXON J844-04-R-100 1/4\ RED DOT AIR BRAKE HOSE""",
114763,J844-04-B-100,"DIXON J844-04-B-100 1/4\ BLUE DOT AIR BRAKE HOSE""",
114753,H630Y50UC,"DIXON H630Y50UC 3\ 50 H6 YELLOW UNCPLD""",
114752,H625Y50UC,"DIXON H625Y50UC 2 1/2\ 50 HD YELLOW UNCOUPLED""",
114747,H620Y50UC,"DIXON H620Y50UC 2\ 50 YELLOW UNCOUPLED""",
114737,H525R50PBF,"DIXON H525R50PBF 2 1/2\ 50 LD PL BR NST""",
114736,H515R50RBF,"DIXON H515R50RBF 1 1/2\ 50 RED NITRILE RL BR NST""",
114733,H515R50PBF,"DIXON H515R50PBF 1 1/2\ 50 RED NITRILE PL BR NST""",
114707,X03-02,"DIXON X03-02 1/4\ IN LINE DESICCANT DRYER TRANS""",
114644,W74D-2A-MB7,"DIXON W74D-2A-MB7 1/4\DESSICANT DRYER W/7 0Z BOWL""",
114643,W74D-2A-MB32,"DIXON W74D-2A-MB32 1/4\DESSICANT DRYER W/ 1 QT. BOWL""",
114508,TR600,"DIXON TR600 6\ 150LB. 316 SS THREADED FLANGE""",
114507,TR400,"DIXON TR400 4\ 150LB. 316 SS THREADED FLANGE""",
114503,TR-CAP,DIXON TR-CAP TRANSMISSION RECEIVER CAP,
114502,TR-C,DIXON TR-C TRANSMISSION RECEIVER WITH CAP,
114501,TR,DIXON TR TRANSMISSION RECEIVER,
114380,TN-PLUG,DIXON TN-PLUG TRANSMISSION NOZZLE PLUG,
114379,TN-P,DIXON TN-P TRANSMISSION NOZZLE WITH PLUG,
114375,TMR48C,"DIXON TMR48C 3\ 316SS HOLEDALL MALE STEM CASTING""",
114372,TMR32C,"DIXON TMR32C 2\ 316SS HOLEDALL MALE STEM CASTING""",
114370,TMR24C,"DIXON TMR24C 1 1/2\ 316SS HOLEDALL MALE STEM CAS""",
114354,TM64,DIXON TM64 4 HOLEDALL TUBULAR MALE STEMS,
114346,TM32,DIXON TM32 2 HOLEDALL TUBULAR MALE STEMS,
114342,TM24,DIXON TM24 1 1/2 HOLEDALL TUBULAR MALE STEMS,
114338,TM160,DIXON TM160 10 HOLEDALL TUBULAR MALE STEMS,
114336,TM128,DIXON TM128 8 HOLEDALL TUBULAR MALE STEMS,
114301,THN35,DIXON THN35 3 TUFF LITE NIPPLES,
114300,THN25,DIXON THN25 2 TUFF LITE NIPPLES,
114299,THN20,DIXON THN20 1 1/2 TUFF LITE NIPPLES,
114298,THN15,DIXON THN15 1 1/4 TUFF LITE NIPPLES,
114276,TF32WF3-80,"DIXON TF32WF3-80 2\FEM.NPT HOLEDALL STEM W/F32-3""",
114275,TF32WF2-80,"DIXON TF32WF2-80 2\FEM HOLEDALL STEM W/F32-2 FERR""",
114274,TF32WF1-80,"DIXON TF32WF1-80 2\FEM.NPT HOLEDALL STEM W/F32-1""",
114272,TF20WF3-80,"DIXON TF20WF3-80 1 1/4\FEM NPT HOLEDALL STEM W/F20-3""",
114271,TF20WF2-80,"DIXON TF20WF2-80 1 1/4\FEM.NPT HOLEDALL STEM W/F20-2""",
114270,TF20WF1-80,"DIXON TF20WF1-80 1 1/4\FEM.NPT HOLEDALL STEM W/F20-1""",
114269,TF16WF3-80,"DIXON TF16WF3-80 1\FEM.NPT HOLEDALL STEM W/FERRULE""",
114268,TF16WF2-80,"DIXON TF16WF2-80 1\FEM.NPT HOLEDALL STEM W/FERRULE""",
114267,TF16WF1-80,"DIXON TF16WF1-80 1\FEM.NPT HOLEDALL STEM W/FERRULE""",
114266,TCT40,DIXON TCT40 IRON RAILROAD TANK CAR NUT X,
114265,TCT30,DIXON TCT30 IRON RAILROAD TANK CAR NUT X,
114223,TBC675,DIXON TBC675 6.75 ID T BOLT CLAMP,
114204,TBC263,DIXON TBC263 2 5/8 ID T BOLT CLAMP,
114179,T800,"DIXON T800 8\ 150# THRDED 1/16RF FLANGE""",
114169,T600,DIXON T600 6 150# THRD 1/16 RF FLANGE,
114168,T500,"DIXON T500 5\ 150# THRDED 1/16RF FLANGE""",
114123,SV30HD,DIXON SV30HD H.D. SAFETY POP OFF VALVE 30 PSI,
114122,SV30,DIXON SV30 30PSI SAFETY POP OFF VALVE,
114119,SV200HD,DIXON SV200HD HD SAFETY POPF OFF VALVE 200 PSI,
114118,SV200,DIXON SV200 200 PSI SAFETY POP-OFF VALVE,
114115,SV175HD,DIXON SV175HD HD SAFETY POP OFF VALVE 175 PSI,
114114,SV175,DIXON SV175 175 PSI SAFETY POP-OFF VALVE,
114111,SV150HD,DIXON SV150HD HD SAFETY POP OFF VALVE 150 PSI,
114110,SV150,DIXON SV150 150 PSI SAFETY POP-OFF VALVE,
114108,SV125HD,DIXON SV125HD HD SAFETY POP OFF VALVE 125 PSI,
114107,SV125,DIXON SV125 125 PSI SAFETY POP-OFF VALVES,
114105,SV100HD,DIXON SV100HD HD SAFETY POP OFF VALVE 100 PSI,
114104,SV100,DIXON SV100 SAFETY VALVE 100 PSI,
114095,STW250,DIXON STW250 2 1/2 SNGL JAKT TAIL WASHER,
114094,STW150,DIXON STW150 1 1/2 SNGL JAKT TAIL WASHER,
114037,STFP8SS,"DIXON STFP8SS SS STRAIGHT THRU PLUG X 1\ F NPT""",
114033,STFP6B,DIXON STFP6B BRASS STRAIGHT THRU PLUG X 3/4F.NPT,
114027,STFP3B,DIXON STFP3B BRASS STRAIGHT THRU PLUG X 3/8F.NPT,
114025,STFP2SS,"DIXON STFP2SS SS STRGHT THRU PLUGX1/4\FEMNPT""",
114019,STFC8SS,"DIXON STFC8SS SS STRAIGHT THRU CPLR X 1\ F.NPT""",
114018,STFC8,"DIXON STFC8 STRAIGHT THRU CPLR X1\ FEM NPT""",
114017,STFC6SS,DIXON STFC6SS SS STRAIGHT THRU CPLR X 3/4 F.NPT,
114016,STFC6,DIXON STFC6 STRAIGHT THRU CPLR X 3/4 FEM NPT,
114015,STFC4SS,DIXON STFC4SS SS STRAIGHT THRU CPLR X 1/2 F.NPT,
114014,STFC4,"DIXON STFC4 STRGHT THRU CPLR X 1/2\FEM NPT""",
114013,STFC3SS,DIXON STFC3SS SS STRAIGHT THRU CPLR X 3/8 F.NPT,
114011,STFC2SS,DIXON STFC2SS SS STRAIGHT THRU CPLR X 1/4 F.NPT,
114010,STFC2,"DIXON STFC2 STRGHT THRU CPLRX 1/4\ FEM NPT""",
114009,STFC16,"DIXON STFC16 STRAIGHT THRU CPLR X 2\ F.NPT""",
114008,STFC12,DIXON STFC12 STRAIGHT THRU CPLR X 1-1/2 F.NPT,
114007,STFC10,"DIXON STFC10 STRAIGHT THRU CPLR X 1-1/4\ F.NPT""",
114006,STC80,DIXON STC80 8 KING NIPPLE PLATED,
114005,STC60,DIXON STC60 6 KING NIPPLE PLATED,
114004,STC50,DIXON STC50 5 KING NIPPLE PLATED,
114003,STC5,DIXON STC5 3/4 KING NIPPLE PLATED,
114000,STC40,DIXON STC40 4 KING NIPPLE PLATED,
113999,STC3540,"DIXON STC3540 3\ HOSE X 4\"" MALE NPT""",
113998,STC3530,"DIXON STC3530 3\ HOSE X 2 1/2 MALE NPT""",
113997,STC3525,"DIXON STC3525 3\ HOSE X 2\"" MALE NPT CS JUMP""",
113996,STC35,DIXON STC35 3 KING NIPPLE PLATED,
113994,STC3025,"DIXON STC3025 2 1/2 HOSE X 2\ MALE NPT""",
113992,STC30,DIXON STC30 2 1/2 KING NIPPLE PLATED,
113991,STC2535,"DIXON STC2535 2\ HOSE X 3\"" MALE NPT CS JUMP NIPPL""",
113990,STC2530,"DIXON STC2530 2\ HOSE X 2 1/2 MALE NPT""",
113989,STC2520,"DIXON STC2520 2\ X 1 1/2 KCN PLATED""",
113988,STC25,DIXON STC25 2 KING NIPPLE PLATED,
113987,STC2025,"DIXON STC2025 1 1/2 HOSE X 2\ MALE NPT""",
113986,STC2015,DIXON STC2015 1 1/2 HOSE X 1 1/4 MALE NPT,
113984,STC20,DIXON STC20 1 1/2 KING NIPPLE PLATED,
113982,STC1520,DIXON STC1520 1 1/4 HOSE X 1 1/2 MALE NPT,
113981,STC1510,DIXON STC1510 1 1/4 HOSE X 1 M NPT PLATED,
113979,STC15,DIXON STC15 1 1/4 KING NIPPLE PLATED,
113978,STC120,DIXON STC120 12 KING NIPPLE PLATED,
113977,STC1015,"DIXON STC1015 1\ HOSE X 1 1/4 MALE NPT""",
113976,STC1005,"DIXON STC1005 1\ HOSE X 3/4\"" MALE NPT""",
113975,STC100,DIXON STC100 10 KING NIPPLE PLATED,
113974,STC10,DIXON STC10 1 KING NIPPLE PLATED,
113973,STC1,DIXON STC1 1/2 KING NIPPLE PLATED,
113972,STC0510,"DIXON STC0510 3/4\ HOSE X 1\"" MALE NPT""",
113937,STBC420L,DIXON STBC420L LONG BOLT T-BOLT CLAMP,
113917,STBC212,DIXON STBC212 T-BOLT CLAMP,
113889,STB30,DIXON STB30 2 1/2 KING NIPPLE PLAIN END,
113888,STB25,DIXON STB25 2 KING NIPPLES PLAIN END,
113887,STB20,DIXON STB20 1 1/2 KING NIPPLE PLAIN END,
113886,STB15,DIXON STB15 1 1/4 KING NIPPLES PLAIN END,
113885,STB120,DIXON STB120 12 KING NIPPLES PLAIN END,
113884,STB100,DIXON STB100 10 KING NIPPLE PLAIN END,
113883,STB10,DIXON STB10 1 KING NIPPLE PLAIN END,
113882,STB1,DIXON STB1 1/2 KING NIPPLES PLAIN END,
113880,ST80,DIXON ST80 8 KING NIPPLE,
113879,ST60PF,"DIXON ST60PF 6\ PLATED STEEL MODIFIED SHANK""",
113878,ST60,DIXON ST60 6 KING NIPPLE,
113877,ST50,DIXON ST50 5 KING NIPPLE,
113876,ST5,DIXON ST5 3/4 KING NIPPLES,
113875,ST40PF,"DIXON ST40PF 4\ PLATED STEEL MODIFIED SHANK""",
113874,ST40,DIXON ST40 4 KING NIPPLE,
113873,ST35PF,"DIXON ST35PF 3\ PLATED STEEL MODIFIED SHANK""",
113872,ST35,DIXON ST35 3 KING NIPPLES,
113871,ST30,DIXON ST30 2 1/2 KING NIPPLE,
113870,ST25PF,DIXON ST25PF 2 KING COMB NIPPLE PHOTO FINISH,
113869,ST25,DIXON ST25 2 KING NIPPLE,
113868,ST20,DIXON ST20 1 1/2 KING NIPPLE,
113867,ST15,DIXON ST15 1 1/4 KING NIPPLES,
113866,ST120,DIXON ST120 12 KING NIPPLE,
113864,ST100,DIXON ST100 10 KING NIPPLE,
113863,ST10,DIXON ST10 1 KING NIPPLE,
113862,ST1,DIXON ST1 1/2 KING NIPPLE,
113856,SSLBV75SP,DIXON SSLBV75SP 3/4 LOCKING BALL VALVE STD PORT,
113854,SSLBV50SP,DIXON SSLBV50SP 1/2 LOCKING BALL VALVE STD PORT,
113852,SSLBV38SP,DIXON SSLBV38SP 3/8 LOCKING BALL VALVE STD PORT,
113850,SSLBV25SP,"DIXON SSLBV25SP 1/4\ LOCKING BALL VALVE STD PORT""",
113848,SSLBV200SP,"DIXON SSLBV200SP 2\ LOCKING BALL VALVE STD PORT""",
113844,SSLBV125SP,DIXON SSLBV125SP 1 1/4 LOCKING BALL VALVE STD PORT,
113842,SSLBV100SP,"DIXON SSLBV100SP 1\ LOCKING BALL VALVE STD PORT""",
113820,SSBV75TW,DIXON SSBV75TW 3/4 FULL PORT SS 3-WAY BALL VALVE,
113817,SSBV50TW,DIXON SSBV50TW 1/2 FULL PORT SS 3 WAY BALL VALVE,
113802,SSBV100TW,"DIXON SSBV100TW 1\ FULL PORT SS 3 WAY BALL VALVE""",
113760,SS16-463,"DIXON SS16-463 1/2\ FNPT SS INDL HYD CPLR""",
113758,SS16-263,"DIXON SS16-263 1/4\ FMPT SS INDL HYD CPLR""",
113706,SM25F30T,"DIXON SM25F30T SWVL M 2 1/2\ FNST X 3\"" MNPT""",
113705,SM25F20T,DIXON SM25F20T 2 1/2 FNST SWIVEL X 2 MNPT,
113704,SM25F15T,DIXON SM25F15T 2 1/2 F NST SWIVEL X 1 1/2 M NPT,
113703,SM250S,"DIXON SM250S 2-1/2\ F NPSH SWVL X 2-1/2\"" MNPT""",
113702,SM250F,DIXON SM250F SWVL M 2 1/2FNSTX2 1/2MNPT,
113701,SM15S15F,"DIXON SM15S15F 1-1/2\ FNPSH SWIV X 1-1/2\"" MNST""",
113699,SM150F,DIXON SM150F 1 1/2 F NST SWVL X 1 1/2 M NPT,
113671,SL200F,"DIXON SL200F 2\ SURELOCK FEMALE NPT""",
113668,SL150H,"DIXON SL150H 1 1/2\ SURELOCK HOSE END MULTIBARB""",
113667,SL150F,"DIXON SL150F 1 1/2\ SURELOCK FEMALE NPT""",
113665,SL100H,"DIXON SL100H 1\ SURELOCK HOSE END MULTIBARB""",
113664,SL100F,"DIXON SL100F 1\ SURELOCK FEMALE NPT""",
113663,SL100CR,DIXON SL100CR 1 SURELOCK QUICK ACTING CPLG W/FERR,
113659,SL075H,"DIXON SL075H 3/4\ SURELOCK HOSE END MULTIBARB""",
113658,SL075F,"DIXON SL075F 3/4\ SURELOCK FEMALE NPT""",
113657,SL075CR,DIXON SL075CR 3/4 SURELOCK QUICK ACTING CPLG W/F,
113655,SL050H,"DIXON SL050H 1/2\ SURELOCK HOSE END MULTIBARB""",
113654,SL050F,"DIXON SL050F 1/2\ SURELOCK FEMALE NPT""",
113653,SL050CR,DIXON SL050CR 1/2 SURELOCK QUICK ACTING CPLG W/F,
113651,SL038H,"DIXON SL038H 3/8\ SURELOCK HOSE END MULTIBARB""",
113650,SL038F,"DIXON SL038F 3/8\ SURELOCK FEMALE NPT""",
113567,SGH75-75,DIXON SGH75-75 RBR/VINYL GARDEN HOSE 3/4 X 75,
113566,SGH75,"DIXON SGH75 RBR/VINYL GARDEN HOSE 5/8\ X 75""",
113565,SGH50-75,DIXON SGH50-75 RBR/VINYL GARDEN HOSE 3/4 X 50,
113564,SGH50,"DIXON SGH50 RBR/VINYL GARDEN HOSE 5/8\ X 50""",
113562,SGH100,DIXON SGH100 RBR/VYNL GARDEN HOSE 5/8 X 100,
113516,SF300F,"DIXON SF300F SWIVEL FEMALE 3\ NST X 3\"" NPT""",
113515,SF25F30T,DIXON SF25F30T SWIV F 2 1/2 NST X 3 FNPT,
113514,SF25F20T,DIXON SF25F20T 2 F NPT X 2 1/2 F NST SWIVEL ADPT,
113513,SF25F15T,DIXON SF25F15T SWIV F 2 1/2 FNST X 1 1/2 FNPT,
113512,SF250S,"DIXON SF250S 2-1/2\ FNPSH X 2-1/2\"" FNPT PIN LUG""",
113511,SF250F,DIXON SF250F SWVL F 2 1/2FNST X2 1/2 FNPT,
113505,SF150S,"DIXON SF150S 1-1/2\ FNPSH X 1-1/2\"" F NPT PIN LUG""",
113504,SF150F,DIXON SF150F SWIV FEM 1 1/2 FNST X 1 1/2 FNPT,
113383,SCS4025F,DIXON SCS4025F STRAIGHT 4 FNPT X 2 1/2 FNST SINGLE,
113357,SB93,DIXON SB93 SETS 2 1/2 KING CPLGS,
113355,SB78,DIXON SB78 SETS 2 KING CPLGS,
113353,SB63,DIXON SB63 SETS 1 1/2 KING CPLGS,
113352,SB62,DIXON SB62 6 KING FEMALES,
113351,SB57,DIXON SB57 5 KING FEMALES,
113350,SB48,DIXON SB48 SETS 1 1/4 KING CPLGS,
113349,SB42,DIXON SB42 4 KING FEMALES,
113348,SB38,DIXON SB38 3 KING FEMALES,
113347,SB33,DIXON SB33 SETS 1 KING CPLGS,
113345,SB32,DIXON SB32 2 1/2 KING FEMALES,
113344,SB27,DIXON SB27 2 KING FEMALES,
113341,SB22,DIXON SB22 1 1/2 KING FEMALES,
113340,SB183,DIXON SB183 SETS 6 KING CPLGS,
113339,SB17,DIXON SB17 1 1/4 KING FEMALES,
113338,SB168,DIXON SB168 SETS 5 KING CPLGS,
113332,SAP26,"DIXON SAP26 2\ STEEL NIP FOR PLASTIC PIPE""",
113331,SAP21,DIXON SAP21 1 1/2 STL NIP FOR PLASTIC PIPE,
113330,SAP16,DIXON SAP16 1 1/4 STEEL NIPPLE FOR PLAST,
113329,SAP11,"DIXON SAP11 1\ STEEL NIP FOR PLASTIC PIPE""",
113328,SAP1,DIXON SAP1 1/2 STEEL NIP FOR PLASTIC PIPEPIPE,
113319,SA15Y57,DIXON SA15Y57 WATTS MOUNTING BRACKET,
113317,S93,DIXON S93 SETS 2 1/2 KING CPLGS,
113315,S78,DIXON S78 SETS 2 KING CPLGS,
113314,S7100-15,"DIXON S7100-15 1 1/2\ FNST X 1 1/2\"" MNST RL BR""",
113313,S7100,"DIXON S7100 2 1/2\ FNST X 1 1/2\"" RL SIAM VLV BR""",
113310,S62,DIXON S62 6 KING FEMALES,
113309,S6175S,"DIXON S6175S 2-1/2\ F NST X (2) 1-1/2\"" M NPSH""",
113308,S6175-H,DIXON S6175-H HANDLE FOR S6175,
113307,S6175,DIXON S6175 QUARTER TURN SIAMESE,
113306,S60,DIXON S60 6 KING MALES,
113305,S57,DIXON S57 5 KING FEMALES,
113304,S55,DIXON S55 5 KING MALES,
113303,S48,DIXON S48 SETS 1 1/4 KING CPLGS,
113302,S42,DIXON S42 4 KING FEMALES,
113299,S36,DIXON S36 3 KING MALES,
113298,S33,DIXON S33 SETS 1 KING CPLGS,
113296,S32,DIXON S32 2 1/2 KING FEMALES,
113294,S30,DIXON S30 2 1/2 KING MALES,
113287,S22,DIXON S22 1 1/2 KING FEMALES,
113284,S183,DIXON S183 SETS 6 KING CPLGS,
113283,S17,DIXON S17 1 1/4 KING FEMALES,
113282,S168,DIXON S168 SETS 5 KING CPLGS,
113277,S15,DIXON S15 1 1/4 KING MALES,
113276,S123,DIXON S123 SETS 4 KING CPLGS,
113274,S111,DIXON S111 SETS 3 KING CPLGS,
113265,RTW150,DIXON RTW150 1 1/2 RACK HOSE TAIL WASHER,
113264,RTCT40,"DIXON RTCT40 SS RR TANK CAR NUT X 4\ELBOWMNPT""",
113263,RTCT30,"DIXON RTCT30 SS RR TANK CAR NUT X 3\ELBOWMNPT""",
113262,RTCA40,"DIXON RTCA40 4\ SS TANK CAR ELBOW""",
113261,RTCA30,"DIXON RTCA30 3\ SS RR TANK CAR NUT X 3\"" C&G ADAP""",
113260,RSTV40,DIXON RSTV40 4 316SS COMB NIPPLE VIC GROOVE,
113258,RSTV35,DIXON RSTV35 3 316SS COMB NIPPLE VIC GROOVE,
113255,RSTV20,DIXON RSTV20 1 1/2 316SS COMB NIPPLE VIC GROOVE,
113254,RSTB80,"DIXON RSTB80 8\ #316SS KCN PLAIN END""",
113253,RSTB60,"DIXON RSTB60 6\ 316SS COMB NIPPLE PLAIN END""",
113252,RSTB5,"DIXON RSTB5 3/4\ 316SS COMB NIPPLE PLAIN END""",
113251,RSTB40,"DIXON RSTB40 4\ 316SS COMB NIPPLE PLAIN END""",
113250,RSTB35,"DIXON RSTB35 3\ 316SS COMB NIPPLE PLAIN END""",
113249,RSTB30,DIXON RSTB30 2 1/2 316SS COMB NIPPLE PLAIN END,
113248,RSTB25,"DIXON RSTB25 2\ 316SS COMB NIPPLE PLAIN END""",
113247,RSTB20,DIXON RSTB20 1 1/2 316SS COMB NIPPLE PLAIN END,
113246,RSTB15,DIXON RSTB15 1 1/4 316SS COMB NIPPLE PLAIN END,
113245,RSTB10,"DIXON RSTB10 1\ 316SS COMB NIPPLE PLAIN END""",
113244,RST80,"DIXON RST80 8\ #316SS KCN""",
113243,RST60PF,"DIXON RST60PF 6\ SS MODIFIED SHANK KC NIPPLE""",
113242,RST60,DIXON RST60 6 316 STAINLESS KING NIPPLES,
113241,RST50,DIXON RST50 5 316 SS KING NIPPLES,
113240,RST5,DIXON RST5 3/4 316 STAINLESS KING NIPPLES,
113239,RST40PF,"DIXON RST40PF 4\ SS MODIFIED SHANK KC NIPPLES""",
113237,RST40,DIXON RST40 4 316 STAINLESS KING NIPPLES,
113236,RST35PF,"DIXON RST35PF 3\ SS MODIFIED SHANK KC NIPPLES""",
113235,RST3525,"DIXON RST3525 3\ HOSE X 2\"" MALE NPT SS JUMP NIPPL""",
113234,RST35,DIXON RST35 3 316 STAINLESS KING NIPPLES,
113232,RST30,DIXON RST30 2 1/2 316 STAINLESS KING NIPPLES,
113231,RST25PF,"DIXON RST25PF 2\ SS KING COMB NIPPLE PF SHANK""",
113230,RST2535,"DIXON RST2535 2\ HOSE X 3\"" MALE NPT SS JUMP NIPPL""",
113229,RST2520,DIXON RST2520 2 X 1 1/2 MALE NPT 316 SS,
113228,RST25,DIXON RST25 2 316 STAINLESS KING NIPPLES,
113227,RST2025,"DIXON RST2025 1 1/2\HOSE SHANK X 2\"" MALE NPT""",
113226,RST2015,DIXON RST2015 1 1/2 X 1 1/4 NPT 316SS,
113224,RST20,DIXON RST20 1 1/2 316 STAINLESS KING NIPPLES,
113223,RST1520,"DIXON RST1520 1 1/4\X 1 1/2\"" NPT 316SS""",
113220,RST15,DIXON RST15 1 1/4 316 STAINLESS KING NIPPLES,
113219,RST1015,"DIXON RST1015 1\ HOSE X 1 1/4\"" MALE NPT 316 SS""",
113218,RST1005,DIXON RST1005 1 X 3/4 MALE NPT 316 SS,
113217,RST10,DIXON RST10 1 316 STAINLESS KING NIPPLES,
113216,RST1,DIXON RST1 1/2 316 STAINLESS KING NIPPLES,
113215,RST0510,DIXON RST0510 3/4 X 1 MALE NPT 316 SS,
113214,RST0501,DIXON RST0501 3/4 X 1/2 MALE NPT 316 SS,
113208,RSMSA25F30T,"DIXON RSMSA25F30T 2-1/2\ FNH X 3\"" MNPT MALE SWIV""",
113207,RSMSA25F20T,"DIXON RSMSA25F20T 2-1/2\ FNH X 2\"" MNPT MALE SWIVEL""",
113206,RSMSA25F15T,"DIXON RSMSA25F15T 2-1/2\ FNH X 1-1/2\"" MNPT MALE SWIV""",
113205,RSMSA250F,"DIXON RSMSA250F 2-1/2\ FNH X 2-1/2\"" MNPT MALE SWIV""",
113196,RSFSA25F30T,"DIXON RSFSA25F30T 2-1/2\ FNH X 3\"" FNPT FEM SWIV""",
113195,RSFSA25F20T,"DIXON RSFSA25F20T 2-1/2\ FNH X 2\"" FNPT FEM SWIV SUCT""",
113194,RSFSA25F15T,"DIXON RSFSA25F15T 2-1/2\ FNH X 1-1/2\"" FNPT FEM SWIVEL""",
113193,RSFSA250F,"DIXON RSFSA250F 2-1/2\ FNST SWIV X 2-1/2\"" FNPT FEM""",
113191,RSF25F20T,DIXON RSF25F20T RL SWIV F 2 1/2 FNST X 2 FNPT,
113190,RSF25F15T,DIXON RSF25F15T RL SWIV F 2 1/2 FNST X 1 1/2 F NPT,
113189,RSF250F,DIXON RSF250F RL SWIV F 2 1/2 FNST X 2 1/2 FNPT,
113188,RSF150F,DIXON RSF150F RL SWIV F 1 1/2 FNST X 1 1/2 FNPT,
113174,RRP-95-952,DIXON RRP-95-952 REPAIR KIT FOR R26,
113173,RRP-95-590,DIXON RRP-95-590 BRACKET  WALL MOUNT,
113170,RRP-95-161,DIXON RRP-95-161 REPAIR KIT FOR R40,
113169,RRP-95-159,DIXON RRP-95-159 REPIR KIT FOR R30,
113168,RRP-95-131,DIXON RRP-95-131 REGULATOR REPAIR KIT,
113161,RRH15168,"DIXON RRH15168 1-1/2\ NPSH RACK HOSE CPLG 1-11/16""",
113159,RPA-95-947,DIXON RPA-95-947 MOUNTING BRACKET & NUT FOR R26,
113154,RN80,DIXON RN80 8 316SS TURNED BK NIPPLE M017-172,
113151,RN60,DIXON RN60 6 316 SS KING TURNED BACK NIP,
113142,RN40,DIXON RN40 4 316 SS KING TURNED BACK NIP,
113141,RN35,DIXON RN35 3 316 SS KING TURNED BACK NIP,
113136,RN300NO,"DIXON RN300NO 3\316SS NOTCHED TURNED BACK NIPPLE""",
113135,RN30,DIXON RN30 2 1/2 316 SS KING TURNED BACK NIP,
113131,RN25,DIXON RN25 2 316 SS KING TURNED BACK NIP,
113127,RN200NO,"DIXON RN200NO 2\316SS NOTCHED TURNED BACK NIPPLE""",
113126,RN20,DIXON RN20 1 1/2 316 SS KING TURNED BACK NIP,
113123,RN150NO,"DIXON RN150NO 1 1/2\316SS NOTCHED TURNED BACK""",
113122,RN15,DIXON RN15 1 1/4 316 SS KING TURNED BACK NIP,
113120,RN10,DIXON RN10 1 316 SS KING TURNED BACK NIP,
113104,RKB605WB,DIXON RKB605WB WATTS SIGHT GLASS REPAIR KIT FOR,
113023,RHA2530T,"DIXON RHA2530T 2-1/2\ FNST X 3\"" MALE NPT HYD""",
113018,RHA2515T,"DIXON RHA2515T 2-1/2\ FNST X 1-1/2\"" MNPT BRASS""",
113015,RHA2510T,"DIXON RHA2510T 2.5\ FNST X 1\"" MNPT R/L BRASS""",
113012,RHA2025F,"DIXON RHA2025F 2\ FNST X 2-1/2\"" MNST BRASS HYD ADP""",
113007,RHA15S10,"DIXON RHA15S10 1-1/2\ FNPSH X 1\"" MNPSH BRASS""",
113005,RHA1525F,"DIXON RHA1525F 1-1/2\ FNST X 2-1/2\"" MNST BRASS""",
113004,RHA1520,DIXON RHA1520 1 1/2 FNST X 2 MNPSH HYD ADPT,
112980,RGF81,DIXON RGF81 2 316 SS GJ BOSS F CPLGS L/C,
112977,RGF61,DIXON RGF61 1 1/2 316 SS GJ BOSS F CPLG L/C,
112976,RGF51,DIXON RGF51 1 1/4 316 SS GJ BOSS F CPLGS L/C,
